epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1817,5.79986,18.7521,4.25494,0,0,0,0,0,0,0,0.00325758,0.00325758,0.00325758
2,25.4626,5.46701,10.5416,4.11949,0,0,0,0,0,0,0,0.00657786,0.00657786,0.00657786
3,37.6491,4.22171,4.62821,3.18583,0,0,0,0,0,0,0,0.00988494,0.00988494,0.00988494
4,49.8565,3.18633,2.7618,1.97181,0,0,0,0,0,0,0,0.0099406,0.0099406,0.0099406
5,61.9892,2.79537,2.36624,1.6548,0,0,0,0,0,0,0,0.0099208,0.0099208,0.0099208
6,74.2052,2.55241,2.06087,1.49518,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
7,86.3451,2.45989,1.8355,1.39517,0,0,0,0,0,0,0,0.0098812,0.0098812,0.0098812
8,98.5152,2.3014,1.67326,1.33914,0,0,0,0,0,0,0,0.0098614,0.0098614,0.0098614
9,110.575,2.24375,1.58133,1.31237,0,0,0,0,0,0,0,0.0098416,0.0098416,0.0098416
10,122.568,2.14718,1.47688,1.28078,0,0,0,0,0,0,0,0.0098218,0.0098218,0.0098218
11,134.591,2.1237,1.39124,1.24922,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
12,146.606,2.07224,1.31551,1.22364,0,0,0,0,0,0,0,0.0097822,0.0097822,0.0097822
13,158.128,2.04075,1.30299,1.22721,0,0,0,0,0,0,0,0.0097624,0.0097624,0.0097624
14,169.72,2.00796,1.27942,1.21133,0,0,0,0,0,0,0,0.0097426,0.0097426,0.0097426
15,181.254,1.96199,1.23202,1.21873,0,0,0,0,0,0,0,0.0097228,0.0097228,0.0097228
16,192.792,1.93068,1.19581,1.17497,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
17,204.266,1.88012,1.16177,1.16382,0,0,0,0,0,0,0,0.0096832,0.0096832,0.0096832
18,215.752,1.89377,1.12698,1.16425,0,0,0,0,0,0,0,0.0096634,0.0096634,0.0096634
19,227.251,1.86594,1.09768,1.16418,0,0,0,0,0,0,0,0.0096436,0.0096436,0.0096436
20,238.838,1.82222,1.08162,1.14817,0,0,0,0,0,0,0,0.0096238,0.0096238,0.0096238
