epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2508,5.80745,19.0978,4.32142,0,0,0,0,0,0,0,0.00325758,0.00325758,0.00325758
2,21.4237,5.43117,10.5107,4.13436,0,0,0,0,0,0,0,0.00657786,0.00657786,0.00657786
3,31.5602,4.00854,4.3771,2.96091,0,0,0,0,0,0,0,0.00988494,0.00988494,0.00988494
4,41.6435,3.08765,2.74494,1.91256,0,0,0,0,0,0,0,0.0099406,0.0099406,0.0099406
5,51.7006,2.78573,2.36683,1.61938,0,0,0,0,0,0,0,0.0099208,0.0099208,0.0099208
6,61.7463,2.50247,2.05406,1.47535,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
7,71.8459,2.40208,1.77703,1.36682,0,0,0,0,0,0,0,0.0098812,0.0098812,0.0098812
8,81.9119,2.25416,1.61147,1.30855,0,0,0,0,0,0,0,0.0098614,0.0098614,0.0098614
9,91.9638,2.19191,1.51401,1.28772,0,0,0,0,0,0,0,0.0098416,0.0098416,0.0098416
10,101.959,2.13702,1.45234,1.27287,0,0,0,0,0,0,0,0.0098218,0.0098218,0.0098218
11,111.936,2.10034,1.38127,1.23927,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
12,121.857,2.04285,1.31343,1.2133,0,0,0,0,0,0,0,0.0097822,0.0097822,0.0097822
13,131.88,2.01683,1.27981,1.21003,0,0,0,0,0,0,0,0.0097624,0.0097624,0.0097624
14,141.857,1.99009,1.25595,1.19413,0,0,0,0,0,0,0,0.0097426,0.0097426,0.0097426
15,151.784,1.93732,1.21566,1.20412,0,0,0,0,0,0,0,0.0097228,0.0097228,0.0097228
16,161.674,1.91653,1.16483,1.16289,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
17,171.561,1.8585,1.14913,1.15009,0,0,0,0,0,0,0,0.0096832,0.0096832,0.0096832
18,181.455,1.87732,1.12263,1.15244,0,0,0,0,0,0,0,0.0096634,0.0096634,0.0096634
19,191.353,1.84594,1.09042,1.15632,0,0,0,0,0,0,0,0.0096436,0.0096436,0.0096436
20,201.214,1.81495,1.07634,1.13498,0,0,0,0,0,0,0,0.0096238,0.0096238,0.0096238
21,211.114,1.81949,1.06218,1.13725,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
22,221.007,1.80205,1.04895,1.12275,0,0,0,0,0,0,0,0.0095842,0.0095842,0.0095842
23,230.869,1.76282,1.03378,1.11616,0,0,0,0,0,0,0,0.0095644,0.0095644,0.0095644
24,240.747,1.75434,0.99262,1.1029,0,0,0,0,0,0,0,0.0095446,0.0095446,0.0095446
25,250.599,1.74392,0.98889,1.11231,0,0,0,0,0,0,0,0.0095248,0.0095248,0.0095248
26,260.481,1.7331,0.9824,1.09612,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
27,270.376,1.72396,0.95432,1.09773,0,0,0,0,0,0,0,0.0094852,0.0094852,0.0094852
28,280.264,1.69887,0.96541,1.10043,0,0,0,0,0,0,0,0.0094654,0.0094654,0.0094654
29,290.123,1.71951,0.95117,1.08468,0,0,0,0,0,0,0,0.0094456,0.0094456,0.0094456
30,300.018,1.68799,0.93582,1.08447,0,0,0,0,0,0,0,0.0094258,0.0094258,0.0094258
31,309.915,1.66741,0.91296,1.07016,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
32,319.784,1.67768,0.91941,1.0795,0,0,0,0,0,0,0,0.0093862,0.0093862,0.0093862
33,329.666,1.63525,0.90594,1.06383,0,0,0,0,0,0,0,0.0093664,0.0093664,0.0093664
34,339.523,1.65996,0.90555,1.08271,0,0,0,0,0,0,0,0.0093466,0.0093466,0.0093466
35,349.412,1.63318,0.88774,1.0808,0,0,0,0,0,0,0,0.0093268,0.0093268,0.0093268
36,359.272,1.62429,0.87905,1.05818,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
37,369.163,1.63885,0.87742,1.06932,0,0,0,0,0,0,0,0.0092872,0.0092872,0.0092872
38,379.026,1.60841,0.86359,1.05511,0,0,0,0,0,0,0,0.0092674,0.0092674,0.0092674
39,388.955,1.62564,0.8779,1.06347,0,0,0,0,0,0,0,0.0092476,0.0092476,0.0092476
40,398.831,1.59716,0.86548,1.06056,0,0,0,0,0,0,0,0.0092278,0.0092278,0.0092278
41,408.729,1.56762,0.8431,1.04726,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
42,418.675,1.58719,0.84737,1.04688,0,0,0,0,0,0,0,0.0091882,0.0091882,0.0091882
43,428.592,1.57417,0.82613,1.05845,0,0,0,0,0,0,0,0.0091684,0.0091684,0.0091684
44,438.495,1.53879,0.81506,1.02343,0,0,0,0,0,0,0,0.0091486,0.0091486,0.0091486
45,448.412,1.57342,0.83096,1.05049,0,0,0,0,0,0,0,0.0091288,0.0091288,0.0091288
46,458.34,1.55841,0.82733,1.04986,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
47,468.28,1.55248,0.81205,1.03871,0,0,0,0,0,0,0,0.0090892,0.0090892,0.0090892
48,478.197,1.54476,0.81059,1.02618,0,0,0,0,0,0,0,0.0090694,0.0090694,0.0090694
49,488.041,1.54896,0.82587,1.04224,0,0,0,0,0,0,0,0.0090496,0.0090496,0.0090496
50,497.892,1.53248,0.80766,1.03851,0,0,0,0,0,0,0,0.0090298,0.0090298,0.0090298
51,507.817,1.52531,0.79382,1.02379,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
52,517.733,1.51891,0.78137,1.03396,0,0,0,0,0,0,0,0.0089902,0.0089902,0.0089902
53,527.639,1.5215,0.79659,1.02795,0,0,0,0,0,0,0,0.0089704,0.0089704,0.0089704
54,537.545,1.50662,0.78726,1.02778,0,0,0,0,0,0,0,0.0089506,0.0089506,0.0089506
55,547.472,1.484,0.76907,1.02048,0,0,0,0,0,0,0,0.0089308,0.0089308,0.0089308
56,557.435,1.47617,0.75441,1.01227,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
57,567.352,1.49063,0.76951,1.01912,0,0,0,0,0,0,0,0.0088912,0.0088912,0.0088912
58,577.26,1.48408,0.76613,1.01392,0,0,0,0,0,0,0,0.0088714,0.0088714,0.0088714
59,587.179,1.48665,0.76967,1.01353,0,0,0,0,0,0,0,0.0088516,0.0088516,0.0088516
60,597.088,1.48346,0.76775,1.01987,0,0,0,0,0,0,0,0.0088318,0.0088318,0.0088318
61,606.956,1.49639,0.76826,1.03615,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
62,616.86,1.47963,0.75676,1.00447,0,0,0,0,0,0,0,0.0087922,0.0087922,0.0087922
63,626.737,1.5023,0.77702,1.03458,0,0,0,0,0,0,0,0.0087724,0.0087724,0.0087724
64,636.632,1.47217,0.75133,1.01605,0,0,0,0,0,0,0,0.0087526,0.0087526,0.0087526
65,646.584,1.46023,0.73916,1.00699,0,0,0,0,0,0,0,0.0087328,0.0087328,0.0087328
66,656.484,1.46281,0.74497,1.01064,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
67,666.365,1.45857,0.7486,1.00896,0,0,0,0,0,0,0,0.0086932,0.0086932,0.0086932
68,676.267,1.44275,0.73757,1.01246,0,0,0,0,0,0,0,0.0086734,0.0086734,0.0086734
69,686.134,1.43768,0.73298,1.00684,0,0,0,0,0,0,0,0.0086536,0.0086536,0.0086536
70,696.028,1.44718,0.72703,1.00279,0,0,0,0,0,0,0,0.0086338,0.0086338,0.0086338
71,705.91,1.42503,0.73176,1.00458,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
72,715.884,1.4341,0.72555,1.00555,0,0,0,0,0,0,0,0.0085942,0.0085942,0.0085942
73,725.79,1.42709,0.72283,0.9947,0,0,0,0,0,0,0,0.0085744,0.0085744,0.0085744
74,735.685,1.40501,0.7095,1.00209,0,0,0,0,0,0,0,0.0085546,0.0085546,0.0085546
75,745.515,1.4235,0.7082,0.99561,0,0,0,0,0,0,0,0.0085348,0.0085348,0.0085348
76,755.378,1.40527,0.70249,0.99677,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
77,765.252,1.41485,0.7117,0.99389,0,0,0,0,0,0,0,0.0084952,0.0084952,0.0084952
78,775.122,1.39717,0.70354,0.99114,0,0,0,0,0,0,0,0.0084754,0.0084754,0.0084754
79,785.008,1.40957,0.69385,0.99048,0,0,0,0,0,0,0,0.0084556,0.0084556,0.0084556
80,794.88,1.39892,0.70231,1.00199,0,0,0,0,0,0,0,0.0084358,0.0084358,0.0084358
81,804.797,1.38066,0.69337,0.99001,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
82,814.688,1.37764,0.68768,0.99023,0,0,0,0,0,0,0,0.0083962,0.0083962,0.0083962
83,824.552,1.38276,0.69796,0.98613,0,0,0,0,0,0,0,0.0083764,0.0083764,0.0083764
84,834.418,1.37109,0.68821,0.99938,0,0,0,0,0,0,0,0.0083566,0.0083566,0.0083566
85,844.319,1.38242,0.68708,0.9882,0,0,0,0,0,0,0,0.0083368,0.0083368,0.0083368
86,854.195,1.35961,0.68083,0.98419,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
87,864.053,1.37772,0.68609,0.98693,0,0,0,0,0,0,0,0.0082972,0.0082972,0.0082972
88,873.921,1.37456,0.68469,0.98741,0,0,0,0,0,0,0,0.0082774,0.0082774,0.0082774
89,883.854,1.35665,0.68772,0.97856,0,0,0,0,0,0,0,0.0082576,0.0082576,0.0082576
90,893.726,1.38099,0.69706,0.98437,0,0,0,0,0,0,0,0.0082378,0.0082378,0.0082378
91,903.597,1.34512,0.67328,0.97082,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
92,913.469,1.3482,0.66489,0.97402,0,0,0,0,0,0,0,0.0081982,0.0081982,0.0081982
93,923.352,1.33474,0.66456,0.97009,0,0,0,0,0,0,0,0.0081784,0.0081784,0.0081784
94,933.243,1.32652,0.6611,0.96676,0,0,0,0,0,0,0,0.0081586,0.0081586,0.0081586
95,943.168,1.35156,0.66966,0.97792,0,0,0,0,0,0,0,0.0081388,0.0081388,0.0081388
