epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0943,5.76186,15.996,4.264,4e-05,0.00271,2e-05,0,5.47128,9.68821,4.1602,0.00325758,0.00325758,0.00325758
2,21.083,5.15536,9.39263,4.09185,4e-05,0.00271,2e-05,0,5.43631,7.02635,4.1912,0.00657786,0.00657786,0.00657786
3,31.0837,3.85949,4.17416,2.80253,0.03419,0.03613,0.00569,0.00142,3.56503,4.2809,2.74621,0.00988494,0.00988494,0.00988494
4,41.0552,3.0765,2.76834,1.82935,0.12153,0.07949,0.0311,0.00894,3.20223,3.43768,2.21131,0.0099406,0.0099406,0.0099406
5,51.056,2.75134,2.30912,1.57393,0.21127,0.1635,0.08262,0.02418,2.82035,4.76446,1.76162,0.0099208,0.0099208,0.0099208
6,61.1696,2.52598,2.02029,1.46189,0.44063,0.30172,0.27179,0.09295,2.50575,2.17605,1.55968,0.009901,0.009901,0.009901
7,71.1251,2.46026,1.77976,1.3815,0.48247,0.28636,0.27467,0.09528,2.45028,2.07784,1.51894,0.0098812,0.0098812,0.0098812
8,81.41,2.27933,1.63287,1.3188,0.53092,0.40199,0.40015,0.15128,2.23681,1.64584,1.40775,0.0098614,0.0098614,0.0098614
9,91.3853,2.22437,1.51809,1.3011,0.58708,0.48238,0.49683,0.1822,2.1829,1.52689,1.38141,0.0098416,0.0098416,0.0098416
10,101.326,2.17251,1.45283,1.28052,0.61632,0.50497,0.51312,0.19042,2.12823,1.51071,1.33441,0.0098218,0.0098218,0.0098218
11,111.428,2.11889,1.36767,1.24018,0.60248,0.41073,0.44575,0.17666,2.14857,1.73073,1.33492,0.009802,0.009802,0.009802
12,121.687,2.03649,1.29631,1.20861,0.7003,0.486,0.53686,0.23258,1.97228,1.33392,1.29795,0.0097822,0.0097822,0.0097822
13,131.907,2.01921,1.27348,1.21288,0.68348,0.53388,0.57572,0.24628,1.95342,1.30144,1.29337,0.0097624,0.0097624,0.0097624
14,142.157,2.0161,1.27564,1.20433,0.66881,0.54363,0.56821,0.21213,1.98285,1.44232,1.28727,0.0097426,0.0097426,0.0097426
15,152.385,1.98009,1.22466,1.21943,0.6235,0.47245,0.48786,0.19047,2.07105,1.54437,1.32983,0.0097228,0.0097228,0.0097228
16,162.33,1.93191,1.16697,1.16417,0.74051,0.55827,0.61952,0.26394,1.90888,1.25691,1.25373,0.009703,0.009703,0.009703
17,172.253,1.87403,1.14445,1.15971,0.65054,0.48263,0.51867,0.21071,1.97902,1.47452,1.27725,0.0096832,0.0096832,0.0096832
18,182.157,1.90163,1.12105,1.16269,0.74285,0.57633,0.63899,0.26458,1.86606,1.20146,1.23641,0.0096634,0.0096634,0.0096634
19,192.074,1.86148,1.09914,1.15448,0.74478,0.53839,0.62198,0.27197,1.81822,1.33079,1.20873,0.0096436,0.0096436,0.0096436
20,201.992,1.82641,1.07963,1.14967,0.77445,0.58898,0.64902,0.27962,1.8482,1.12383,1.22762,0.0096238,0.0096238,0.0096238
21,211.967,1.84091,1.08363,1.14303,0.73863,0.52332,0.59643,0.25765,1.88352,1.30737,1.25623,0.009604,0.009604,0.009604
22,221.837,1.80792,1.05233,1.1217,0.73591,0.63234,0.68106,0.30548,1.78413,1.10075,1.1984,0.0095842,0.0095842,0.0095842
23,231.975,1.78536,1.03102,1.12763,0.72418,0.6224,0.6684,0.29509,1.82766,1.13254,1.20715,0.0095644,0.0095644,0.0095644
24,241.87,1.77732,0.99524,1.11894,0.78555,0.6495,0.71543,0.30604,1.76044,1.10424,1.17586,0.0095446,0.0095446,0.0095446
25,251.94,1.76728,0.9987,1.11753,0.74063,0.57001,0.62877,0.26076,1.951,1.19967,1.26806,0.0095248,0.0095248,0.0095248
26,261.93,1.7521,1.00149,1.10941,0.75272,0.62963,0.68448,0.30028,1.80069,1.07529,1.19682,0.009505,0.009505,0.009505
27,271.805,1.75251,0.97508,1.11209,0.75788,0.66396,0.71731,0.32478,1.77722,1.02491,1.20651,0.0094852,0.0094852,0.0094852
28,281.694,1.74404,0.98235,1.11524,0.78831,0.65763,0.71978,0.30829,1.78409,1.02644,1.19957,0.0094654,0.0094654,0.0094654
29,291.668,1.73196,0.96083,1.09408,0.78544,0.65221,0.71916,0.31648,1.76964,1.08475,1.18982,0.0094456,0.0094456,0.0094456
30,301.574,1.70497,0.9344,1.0879,0.80029,0.65854,0.72834,0.33647,1.70336,1.02726,1.16874,0.0094258,0.0094258,0.0094258
31,311.442,1.6875,0.93578,1.0767,0.74026,0.46599,0.52325,0.23176,1.93417,1.60656,1.26777,0.009406,0.009406,0.009406
32,321.304,1.68989,0.92746,1.08375,0.79182,0.65283,0.74237,0.32079,1.76802,0.99129,1.19127,0.0093862,0.0093862,0.0093862
33,331.151,1.66066,0.91234,1.07118,0.81306,0.66757,0.72869,0.34363,1.68038,0.95959,1.16847,0.0093664,0.0093664,0.0093664
34,341.053,1.67046,0.90956,1.08865,0.793,0.66305,0.73123,0.32588,1.72514,1.01421,1.17019,0.0093466,0.0093466,0.0093466
35,351.012,1.67353,0.90473,1.09081,0.78435,0.63505,0.70124,0.32021,1.6814,1.04808,1.16356,0.0093268,0.0093268,0.0093268
36,360.926,1.65511,0.88866,1.06628,0.8075,0.68202,0.76848,0.37405,1.63072,0.91235,1.1364,0.009307,0.009307,0.009307
37,370.81,1.65827,0.89768,1.07558,0.76494,0.67906,0.73364,0.33973,1.68326,1.01455,1.16232,0.0092872,0.0092872,0.0092872
38,380.685,1.63744,0.88797,1.06617,0.78545,0.62963,0.69867,0.30945,1.79536,1.00395,1.18974,0.0092674,0.0092674,0.0092674
39,390.559,1.63779,0.88586,1.06645,0.80774,0.72177,0.77975,0.37426,1.62029,0.91653,1.12864,0.0092476,0.0092476,0.0092476
40,400.479,1.61297,0.87806,1.0683,0.79281,0.63601,0.71483,0.33437,1.65903,1.01439,1.15662,0.0092278,0.0092278,0.0092278
41,410.339,1.57816,0.84547,1.05477,0.82967,0.68383,0.77426,0.37392,1.61844,0.92768,1.13816,0.009208,0.009208,0.009208
42,420.2,1.60496,0.8569,1.05532,0.81118,0.68202,0.74011,0.35092,1.66273,0.92747,1.15072,0.0091882,0.0091882,0.0091882
43,430.122,1.60629,0.84445,1.07311,0.83117,0.69196,0.77123,0.36286,1.63732,0.91587,1.13646,0.0091684,0.0091684,0.0091684
44,440.142,1.56123,0.82081,1.03001,0.83042,0.69828,0.77507,0.36948,1.62538,0.89891,1.14551,0.0091486,0.0091486,0.0091486
45,450,1.5852,0.83189,1.05317,0.82815,0.69557,0.77951,0.36853,1.63343,0.90882,1.13407,0.0091288,0.0091288,0.0091288
46,459.877,1.56288,0.81989,1.05231,0.81591,0.69828,0.76685,0.35811,1.64813,0.94208,1.14577,0.009109,0.009109,0.009109
47,469.934,1.57058,0.8244,1.04725,0.83875,0.71906,0.79882,0.37799,1.66455,0.91215,1.14851,0.0090892,0.0090892,0.0090892
48,480.104,1.55482,0.80935,1.03333,0.81471,0.71097,0.79088,0.37634,1.62962,0.87744,1.13748,0.0090694,0.0090694,0.0090694
49,489.97,1.55595,0.8266,1.04424,0.794,0.65854,0.74402,0.34545,1.721,1.01832,1.15695,0.0090496,0.0090496,0.0090496
50,499.837,1.53605,0.80683,1.03801,0.81932,0.70457,0.78749,0.37958,1.60065,0.88968,1.13594,0.0090298,0.0090298,0.0090298
51,509.767,1.51928,0.79821,1.02465,0.83674,0.65744,0.76054,0.36737,1.66108,0.88983,1.1652,0.00901,0.00901,0.00901
52,519.639,1.53693,0.79693,1.04144,0.82717,0.68741,0.75435,0.34795,1.682,0.93139,1.17411,0.0089902,0.0089902,0.0089902
53,529.502,1.53836,0.80126,1.03513,0.8006,0.729,0.77761,0.36868,1.63369,0.86011,1.14019,0.0089704,0.0089704,0.0089704
54,539.359,1.53402,0.79753,1.03538,0.86697,0.68835,0.78929,0.37624,1.61643,0.86764,1.13856,0.0089506,0.0089506,0.0089506
55,549.224,1.48599,0.7713,1.02536,0.80291,0.69467,0.77009,0.36492,1.59789,0.87555,1.12767,0.0089308,0.0089308,0.0089308
56,559.068,1.48297,0.76143,1.01603,0.82573,0.74902,0.80396,0.3869,1.58737,0.83118,1.1327,0.008911,0.008911,0.008911
57,568.98,1.49604,0.76919,1.02421,0.82934,0.76061,0.82327,0.39919,1.57509,0.80217,1.11839,0.0088912,0.0088912,0.0088912
58,578.891,1.4856,0.75795,1.01865,0.81917,0.72841,0.7933,0.36698,1.67155,0.87341,1.14791,0.0088714,0.0088714,0.0088714
59,588.754,1.50379,0.76358,1.02268,0.8706,0.70551,0.80338,0.38684,1.59437,0.83068,1.12666,0.0088516,0.0088516,0.0088516
60,598.641,1.49035,0.76913,1.01805,0.7882,0.7463,0.78722,0.37984,1.56891,0.85262,1.11861,0.0088318,0.0088318,0.0088318
61,608.539,1.49404,0.76132,1.02957,0.8141,0.72789,0.78422,0.37354,1.58859,0.81968,1.1252,0.008812,0.008812,0.008812
62,618.433,1.4882,0.75439,1.00728,0.81453,0.70221,0.7799,0.38983,1.58353,0.81527,1.13749,0.0087922,0.0087922,0.0087922
63,628.301,1.51256,0.77092,1.03522,0.83103,0.7308,0.80396,0.37102,1.65234,0.88331,1.15331,0.0087724,0.0087724,0.0087724
64,638.157,1.47841,0.74833,1.02257,0.82662,0.72357,0.80063,0.37811,1.61004,0.82914,1.13013,0.0087526,0.0087526,0.0087526
65,648.04,1.4723,0.74818,1.01267,0.79641,0.70641,0.7663,0.369,1.60338,0.87273,1.13027,0.0087328,0.0087328,0.0087328
66,657.925,1.46844,0.74274,1.01411,0.80635,0.74476,0.80007,0.38756,1.57407,0.83331,1.12417,0.008713,0.008713,0.008713
67,667.791,1.46493,0.75029,1.01392,0.82789,0.7604,0.82262,0.40262,1.56855,0.81387,1.12729,0.0086932,0.0086932,0.0086932
68,677.66,1.44283,0.73043,1.01495,0.83037,0.75339,0.81323,0.40805,1.52129,0.76394,1.11134,0.0086734,0.0086734,0.0086734
69,687.545,1.44137,0.73923,1.00704,0.8385,0.75881,0.81942,0.39952,1.55708,0.82838,1.13523,0.0086536,0.0086536,0.0086536
70,697.408,1.44853,0.73306,1.00249,0.83495,0.74029,0.81733,0.40078,1.56718,0.83802,1.12053,0.0086338,0.0086338,0.0086338
71,707.283,1.43563,0.73228,1.00621,0.84705,0.74977,0.8254,0.40741,1.56763,0.78825,1.12271,0.008614,0.008614,0.008614
72,717.159,1.43848,0.72385,1.00204,0.84839,0.72795,0.80303,0.39551,1.5742,0.80013,1.11787,0.0085942,0.0085942,0.0085942
73,727.02,1.43336,0.71697,0.99567,0.83412,0.75881,0.81839,0.39679,1.57986,0.78527,1.13081,0.0085744,0.0085744,0.0085744
74,736.919,1.39437,0.70402,1.00255,0.84538,0.73171,0.81169,0.39677,1.58441,0.77375,1.13245,0.0085546,0.0085546,0.0085546
75,746.778,1.43521,0.70527,1.00019,0.79752,0.74164,0.80604,0.40187,1.57872,0.81394,1.13298,0.0085348,0.0085348,0.0085348
76,756.639,1.41817,0.71818,0.99649,0.8422,0.73984,0.82444,0.40612,1.5346,0.78815,1.09406,0.008515,0.008515,0.008515
77,766.497,1.41263,0.71518,0.99621,0.86918,0.71996,0.81876,0.3964,1.57018,0.76537,1.12371,0.0084952,0.0084952,0.0084952
78,776.362,1.40971,0.70913,0.98645,0.84953,0.72934,0.80177,0.40249,1.52374,0.76052,1.10349,0.0084754,0.0084754,0.0084754
79,786.21,1.41073,0.69475,0.98542,0.83438,0.75548,0.8139,0.40028,1.57261,0.75112,1.11582,0.0084556,0.0084556,0.0084556
80,796.081,1.40528,0.6997,1.00894,0.8179,0.73845,0.80108,0.39216,1.57127,0.79744,1.12766,0.0084358,0.0084358,0.0084358
81,806.137,1.38166,0.68634,0.98888,0.84886,0.74797,0.82927,0.41141,1.51966,0.74972,1.11453,0.008416,0.008416,0.008416
82,816.054,1.37304,0.68355,0.98966,0.86819,0.70641,0.80048,0.38867,1.59393,0.86855,1.13668,0.0083962,0.0083962,0.0083962
83,826.155,1.38468,0.68983,0.989,0.86005,0.7439,0.83142,0.41771,1.51778,0.76296,1.12281,0.0083764,0.0083764,0.0083764
84,836.124,1.37243,0.69014,0.99822,0.81262,0.76332,0.80994,0.40013,1.5253,0.7778,1.10516,0.0083566,0.0083566,0.0083566
85,846.011,1.38005,0.67545,0.98944,0.83392,0.77236,0.84388,0.4234,1.50326,0.75971,1.11542,0.0083368,0.0083368,0.0083368
86,856.078,1.36519,0.67545,0.98358,0.84966,0.76603,0.83366,0.41338,1.50485,0.75187,1.10292,0.008317,0.008317,0.008317
87,865.958,1.38043,0.68577,0.98415,0.84309,0.74748,0.82236,0.40797,1.53959,0.76449,1.12409,0.0082972,0.0082972,0.0082972
88,875.872,1.37858,0.68543,0.99027,0.8681,0.76104,0.83817,0.41135,1.54841,0.79206,1.1158,0.0082774,0.0082774,0.0082774
89,885.767,1.3567,0.68055,0.97881,0.85502,0.75118,0.8308,0.41737,1.52074,0.74009,1.10595,0.0082576,0.0082576,0.0082576
90,895.659,1.38181,0.6832,0.98374,0.87053,0.76874,0.8292,0.41174,1.53054,0.7599,1.10647,0.0082378,0.0082378,0.0082378
91,905.541,1.35425,0.67308,0.97252,0.84559,0.76784,0.83331,0.42158,1.50002,0.77483,1.09204,0.008218,0.008218,0.008218
92,915.402,1.34835,0.66587,0.97464,0.83937,0.74706,0.82247,0.41467,1.49861,0.77102,1.10107,0.0081982,0.0081982,0.0081982
93,925.266,1.34788,0.66315,0.97271,0.86797,0.74616,0.83291,0.41668,1.52762,0.76905,1.11683,0.0081784,0.0081784,0.0081784
94,935.351,1.33097,0.66121,0.96832,0.86993,0.75248,0.84389,0.4214,1.49608,0.74077,1.10587,0.0081586,0.0081586,0.0081586
