epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9674,4.13991,9.56083,4.00976,0.79349,0.01033,0.01591,0.00482,3.88354,13.4511,2.79672,0.00332534,0.00332534,0.00332534
2,180.92,3.01845,3.80265,2.15,0.42067,0.09885,0.07085,0.02079,2.90997,3.19073,1.74342,0.0066367,0.0066367,0.0066367
3,266.53,2.7347,3.00882,1.85157,0.61336,0.05574,0.04952,0.01381,3.17084,4.29637,1.84584,0.00992606,0.00992606,0.00992606
4,351.333,2.61054,2.75591,1.7332,0.43112,0.10634,0.06524,0.02152,2.7783,3.88019,1.61129,0.009901,0.009901,0.009901
5,434.455,2.50697,2.60601,1.67089,0.52264,0.0835,0.03469,0.01247,2.81601,3.28449,1.67288,0.009868,0.009868,0.009868
6,517.784,2.43854,2.50203,1.60879,0.43125,0.12123,0.0529,0.016,2.72976,3.19114,1.57024,0.009835,0.009835,0.009835
7,600.82,2.39861,2.44725,1.60807,0.39583,0.27356,0.16268,0.05006,2.42599,2.44772,1.48607,0.009802,0.009802,0.009802
8,683.659,2.36435,2.38573,1.57458,0.44663,0.21334,0.21108,0.07969,2.39153,2.29739,1.47831,0.009769,0.009769,0.009769
9,766.897,2.33654,2.33369,1.56326,0.64715,0.21523,0.18113,0.07366,2.39922,2.18376,1.4978,0.009736,0.009736,0.009736
10,850.604,2.31059,2.27575,1.54783,0.47276,0.08069,0.08753,0.0304,2.88363,3.74101,1.69972,0.009703,0.009703,0.009703
11,934.487,2.29499,2.24841,1.52594,0.59313,0.22246,0.18496,0.06733,2.47368,2.46175,1.49565,0.00967,0.00967,0.00967
12,1017.03,2.27473,2.18929,1.5285,0.52482,0.23523,0.25305,0.10452,2.32765,2.04129,1.46662,0.009637,0.009637,0.009637
13,1100.77,2.25552,2.15256,1.4885,0.48198,0.17238,0.11007,0.04639,2.55647,2.56277,1.52356,0.009604,0.009604,0.009604
