epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4878,5.73998,17.9674,4.32184,0,0,0,0,0,0,0,0.00325758,0.00325758,0.00325758
2,24.247,5.52625,10.3651,4.1654,0,0,0,0,0,0,0,0.00657786,0.00657786,0.00657786
3,35.7953,4.37993,4.70883,3.28611,0,0,0,0,0,0,0,0.00988494,0.00988494,0.00988494
4,47.2456,3.2077,2.82304,2.0208,0,0,0,0,0,0,0,0.0099406,0.0099406,0.0099406
5,58.7613,2.87086,2.38995,1.67561,0,0,0,0,0,0,0,0.0099208,0.0099208,0.0099208
6,70.1758,2.58345,1.99957,1.50441,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
7,81.6847,2.47057,1.77998,1.39119,0,0,0,0,0,0,0,0.0098812,0.0098812,0.0098812
8,93.1683,2.32317,1.62606,1.33565,0,0,0,0,0,0,0,0.0098614,0.0098614,0.0098614
9,104.654,2.26175,1.55996,1.31721,0,0,0,0,0,0,0,0.0098416,0.0098416,0.0098416
10,116.005,2.16832,1.46806,1.28296,0,0,0,0,0,0,0,0.0098218,0.0098218,0.0098218
11,127.341,2.14111,1.40337,1.25375,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
12,138.655,2.07518,1.31942,1.22822,0,0,0,0,0,0,0,0.0097822,0.0097822,0.0097822
13,149.951,2.03116,1.28656,1.21753,0,0,0,0,0,0,0,0.0097624,0.0097624,0.0097624
14,161.249,2.03251,1.27456,1.2148,0,0,0,0,0,0,0,0.0097426,0.0097426,0.0097426
15,172.551,1.97842,1.23002,1.22944,0,0,0,0,0,0,0,0.0097228,0.0097228,0.0097228
16,183.872,1.94355,1.19804,1.17214,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
17,195.153,1.89784,1.16584,1.16366,0,0,0,0,0,0,0,0.0096832,0.0096832,0.0096832
18,206.496,1.89646,1.14506,1.1635,0,0,0,0,0,0,0,0.0096634,0.0096634,0.0096634
19,217.809,1.8935,1.11581,1.16693,0,0,0,0,0,0,0,0.0096436,0.0096436,0.0096436
20,229.122,1.83374,1.09581,1.15233,0,0,0,0,0,0,0,0.0096238,0.0096238,0.0096238
21,240.411,1.84227,1.0659,1.14958,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
22,251.694,1.80895,1.05077,1.1326,0,0,0,0,0,0,0,0.0095842,0.0095842,0.0095842
23,262.984,1.7853,1.03766,1.12527,0,0,0,0,0,0,0,0.0095644,0.0095644,0.0095644
24,274.311,1.78973,1.01859,1.12386,0,0,0,0,0,0,0,0.0095446,0.0095446,0.0095446
25,285.596,1.76722,1.01063,1.12087,0,0,0,0,0,0,0,0.0095248,0.0095248,0.0095248
26,296.896,1.75166,0.99599,1.11212,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
27,308.201,1.74106,0.96925,1.10911,0,0,0,0,0,0,0,0.0094852,0.0094852,0.0094852
28,319.486,1.7358,0.97139,1.11282,0,0,0,0,0,0,0,0.0094654,0.0094654,0.0094654
29,330.887,1.72461,0.9522,1.09563,0,0,0,0,0,0,0,0.0094456,0.0094456,0.0094456
30,342.245,1.70148,0.94017,1.09318,0,0,0,0,0,0,0,0.0094258,0.0094258,0.0094258
31,353.596,1.69186,0.92794,1.08149,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
