epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76114,5.75877,16.8693,4.38051,0,0,0,0,0,0,0,0.00325758,0.00325758,0.00325758
2,16.5463,5.29285,9.10784,4.15374,0,0,0,0,0,0,0,0.00657786,0.00657786,0.00657786
3,24.3469,3.98722,4.40251,3.04692,0,0,0,0,0,0,0,0.00988494,0.00988494,0.00988494
4,32.1579,3.16332,2.85979,1.89659,0,0,0,0,0,0,0,0.0099406,0.0099406,0.0099406
5,39.782,2.85737,2.30388,1.64501,0,0,0,0,0,0,0,0.0099208,0.0099208,0.0099208
6,47.4,2.55902,1.96926,1.47917,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
7,55.129,2.42361,1.73787,1.36508,0,0,0,0,0,0,0,0.0098812,0.0098812,0.0098812
8,62.8694,2.25995,1.57665,1.31723,0,0,0,0,0,0,0,0.0098614,0.0098614,0.0098614
9,70.5102,2.21409,1.49018,1.29558,0,0,0,0,0,0,0,0.0098416,0.0098416,0.0098416
10,78.0753,2.13749,1.42104,1.26991,0,0,0,0,0,0,0,0.0098218,0.0098218,0.0098218
11,85.6684,2.09235,1.3329,1.24168,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
12,93.2474,2.03919,1.27237,1.21154,0,0,0,0,0,0,0,0.0097822,0.0097822,0.0097822
13,100.863,1.98908,1.2497,1.20575,0,0,0,0,0,0,0,0.0097624,0.0097624,0.0097624
14,108.49,1.99638,1.25126,1.20274,0,0,0,0,0,0,0,0.0097426,0.0097426,0.0097426
15,116.259,1.94414,1.19555,1.21571,0,0,0,0,0,0,0,0.0097228,0.0097228,0.0097228
16,123.964,1.93201,1.17331,1.17259,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
17,131.743,1.87913,1.13476,1.15775,0,0,0,0,0,0,0,0.0096832,0.0096832,0.0096832
18,139.463,1.89329,1.11806,1.16356,0,0,0,0,0,0,0,0.0096634,0.0096634,0.0096634
19,147.243,1.85078,1.08417,1.15139,0,0,0,0,0,0,0,0.0096436,0.0096436,0.0096436
20,154.944,1.81798,1.07554,1.14609,0,0,0,0,0,0,0,0.0096238,0.0096238,0.0096238
21,162.693,1.83918,1.05686,1.14489,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
22,170.273,1.79732,1.04506,1.12442,0,0,0,0,0,0,0,0.0095842,0.0095842,0.0095842
23,177.874,1.7851,1.03252,1.12719,0,0,0,0,0,0,0,0.0095644,0.0095644,0.0095644
24,185.449,1.78016,1.00767,1.11816,0,0,0,0,0,0,0,0.0095446,0.0095446,0.0095446
25,193.069,1.75558,0.98833,1.1182,0,0,0,0,0,0,0,0.0095248,0.0095248,0.0095248
26,200.734,1.73823,0.98608,1.10525,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
27,208.315,1.72367,0.9593,1.10009,0,0,0,0,0,0,0,0.0094852,0.0094852,0.0094852
28,215.926,1.71931,0.97046,1.10858,0,0,0,0,0,0,0,0.0094654,0.0094654,0.0094654
29,223.559,1.71669,0.94601,1.09131,0,0,0,0,0,0,0,0.0094456,0.0094456,0.0094456
30,231.189,1.6872,0.93705,1.08614,0,0,0,0,0,0,0,0.0094258,0.0094258,0.0094258
31,238.909,1.67804,0.92827,1.08327,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
32,246.655,1.6726,0.91816,1.07972,0,0,0,0,0,0,0,0.0093862,0.0093862,0.0093862
33,254.4,1.63928,0.90356,1.06731,0,0,0,0,0,0,0,0.0093664,0.0093664,0.0093664
34,262.133,1.66114,0.91144,1.0874,0,0,0,0,0,0,0,0.0093466,0.0093466,0.0093466
35,269.893,1.6506,0.8951,1.08812,0,0,0,0,0,0,0,0.0093268,0.0093268,0.0093268
36,277.663,1.6303,0.88265,1.05889,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
37,285.457,1.63728,0.89403,1.07575,0,0,0,0,0,0,0,0.0092872,0.0092872,0.0092872
38,293.182,1.60471,0.87056,1.05382,0,0,0,0,0,0,0,0.0092674,0.0092674,0.0092674
39,300.901,1.62639,0.88836,1.06793,0,0,0,0,0,0,0,0.0092476,0.0092476,0.0092476
40,308.619,1.60353,0.86573,1.0599,0,0,0,0,0,0,0,0.0092278,0.0092278,0.0092278
41,316.351,1.57916,0.84532,1.04867,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
42,324.135,1.60845,0.84026,1.05264,0,0,0,0,0,0,0,0.0091882,0.0091882,0.0091882
43,331.902,1.59706,0.82838,1.06319,0,0,0,0,0,0,0,0.0091684,0.0091684,0.0091684
44,339.642,1.54815,0.80506,1.02757,0,0,0,0,0,0,0,0.0091486,0.0091486,0.0091486
45,347.367,1.57203,0.83019,1.05426,0,0,0,0,0,0,0,0.0091288,0.0091288,0.0091288
46,355.032,1.55222,0.8236,1.05024,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
47,362.616,1.55361,0.82183,1.04009,0,0,0,0,0,0,0,0.0090892,0.0090892,0.0090892
48,370.304,1.53403,0.80356,1.02609,0,0,0,0,0,0,0,0.0090694,0.0090694,0.0090694
49,378.087,1.5549,0.81638,1.04426,0,0,0,0,0,0,0,0.0090496,0.0090496,0.0090496
50,385.812,1.53172,0.80462,1.03926,0,0,0,0,0,0,0,0.0090298,0.0090298,0.0090298
51,393.577,1.54763,0.80847,1.03025,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
52,401.309,1.52955,0.79419,1.03853,0,0,0,0,0,0,0,0.0089902,0.0089902,0.0089902
53,409.038,1.5347,0.79737,1.03207,0,0,0,0,0,0,0,0.0089704,0.0089704,0.0089704
54,416.794,1.52104,0.78002,1.03176,0,0,0,0,0,0,0,0.0089506,0.0089506,0.0089506
55,424.509,1.4923,0.77289,1.02061,0,0,0,0,0,0,0,0.0089308,0.0089308,0.0089308
56,432.275,1.4789,0.76031,1.00971,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
