epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5229,4.09371,9.38658,3.99465,0,0,0,0,0,0,0,0.00332534,0.00332534,0.00332534
2,177.858,2.97966,3.77045,2.11012,0,0,0,0,0,0,0,0.0066367,0.0066367,0.0066367
3,264.691,2.71352,3.0145,1.84966,0,0,0,0,0,0,0,0.00992606,0.00992606,0.00992606
4,352.034,2.61763,2.76579,1.74879,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
5,438.851,2.50274,2.6051,1.67698,0,0,0,0,0,0,0,0.009868,0.009868,0.009868
6,525.83,2.42868,2.49325,1.59677,0,0,0,0,0,0,0,0.009835,0.009835,0.009835
7,612.627,2.38888,2.43643,1.59288,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
8,699.247,2.36117,2.36869,1.56286,0,0,0,0,0,0,0,0.009769,0.009769,0.009769
9,787.028,2.32065,2.31781,1.5575,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
10,873.962,2.29928,2.26136,1.53784,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
11,961.122,2.28512,2.24542,1.51631,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
12,1048.08,2.26384,2.18292,1.51985,0,0,0,0,0,0,0,0.009637,0.009637,0.009637
13,1135.95,2.2459,2.14966,1.48089,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
14,1223.68,2.21833,2.10866,1.48931,0,0,0,0,0,0,0,0.009571,0.009571,0.009571
15,1311.38,2.23074,2.08744,1.47823,0,0,0,0,0,0,0,0.009538,0.009538,0.009538
16,1398.34,2.20786,2.07928,1.47997,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
17,1485.51,2.1962,2.0368,1.46288,0,0,0,0,0,0,0,0.009472,0.009472,0.009472
18,1573.27,2.1941,2.00711,1.45497,0,0,0,0,0,0,0,0.009439,0.009439,0.009439
19,1661.03,2.16647,1.98586,1.4538,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
20,1747.87,2.15615,1.96959,1.44835,0,0,0,0,0,0,0,0.009373,0.009373,0.009373
21,1835.06,2.15608,1.95028,1.44164,0,0,0,0,0,0,0,0.00934,0.00934,0.00934
22,1922.19,2.15728,1.92444,1.41944,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
23,2009.85,2.13048,1.89356,1.42074,0,0,0,0,0,0,0,0.009274,0.009274,0.009274
24,2096.87,2.12494,1.89163,1.41445,0,0,0,0,0,0,0,0.009241,0.009241,0.009241
25,2184.27,2.11984,1.87369,1.40675,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
26,2271.4,2.11341,1.84994,1.41125,0,0,0,0,0,0,0,0.009175,0.009175,0.009175
27,2358.55,2.10038,1.83292,1.40698,0,0,0,0,0,0,0,0.009142,0.009142,0.009142
28,2446.16,2.09572,1.82803,1.40965,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
29,2532.95,2.08296,1.79911,1.39017,0,0,0,0,0,0,0,0.009076,0.009076,0.009076
30,2620.81,2.08852,1.80522,1.39297,0,0,0,0,0,0,0,0.009043,0.009043,0.009043
31,2707.78,2.07646,1.78367,1.39603,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
32,2795.54,2.0609,1.7486,1.37638,0,0,0,0,0,0,0,0.008977,0.008977,0.008977
33,2882.63,2.05592,1.75913,1.39208,0,0,0,0,0,0,0,0.008944,0.008944,0.008944
34,2969.63,2.04243,1.72419,1.36497,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
35,3056.69,2.03668,1.72077,1.37181,0,0,0,0,0,0,0,0.008878,0.008878,0.008878
36,3143.68,2.03727,1.70808,1.37279,0,0,0,0,0,0,0,0.008845,0.008845,0.008845
37,3231.08,2.04562,1.69712,1.37221,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
38,3318.17,2.02775,1.68821,1.36616,0,0,0,0,0,0,0,0.008779,0.008779,0.008779
39,3405.45,2.02821,1.67375,1.35871,0,0,0,0,0,0,0,0.008746,0.008746,0.008746
40,3492.69,2.01389,1.67499,1.36898,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
41,3579.57,2.01526,1.65722,1.36487,0,0,0,0,0,0,0,0.00868,0.00868,0.00868
42,3666.57,2.00346,1.63527,1.34675,0,0,0,0,0,0,0,0.008647,0.008647,0.008647
43,3753.82,2.00373,1.62721,1.35176,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
44,3840.68,1.99145,1.62371,1.35061,0,0,0,0,0,0,0,0.008581,0.008581,0.008581
45,3927.45,1.99007,1.60791,1.35089,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
46,4014.22,1.98617,1.59232,1.34225,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
47,4101.59,1.9886,1.60073,1.34036,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
48,4189.07,1.97618,1.573,1.3238,0,0,0,0,0,0,0,0.008449,0.008449,0.008449
49,4276.55,1.96813,1.56453,1.32133,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
50,4364.01,1.96355,1.5512,1.32372,0,0,0,0,0,0,0,0.008383,0.008383,0.008383
51,4451.4,1.96379,1.55749,1.33135,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
52,4538.71,1.94933,1.53566,1.32785,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
53,4625.99,1.94877,1.52641,1.31384,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
54,4713.74,1.93495,1.5104,1.31721,0,0,0,0,0,0,0,0.008251,0.008251,0.008251
55,4800.86,1.93984,1.5223,1.31633,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
56,4888.77,1.92714,1.50119,1.3082,0,0,0,0,0,0,0,0.008185,0.008185,0.008185
57,4976.37,1.93163,1.48567,1.30403,0,0,0,0,0,0,0,0.008152,0.008152,0.008152
58,5064.16,1.93044,1.48126,1.2985,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
59,5151.21,1.92393,1.48729,1.30692,0,0,0,0,0,0,0,0.008086,0.008086,0.008086
60,5238.05,1.92393,1.48273,1.30798,0,0,0,0,0,0,0,0.008053,0.008053,0.008053
61,5324.97,1.91967,1.47344,1.29735,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
62,5412.15,1.90259,1.44385,1.29202,0,0,0,0,0,0,0,0.007987,0.007987,0.007987
63,5498.9,1.90357,1.44117,1.29507,0,0,0,0,0,0,0,0.007954,0.007954,0.007954
