epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4155,5.77416,16.8999,4.38432,4e-05,0.00271,2e-05,0,5.47898,9.72081,4.17326,0.00325758,0.00325758,0.00325758
2,23.4504,5.31579,8.94363,4.16324,4e-05,0.00271,2e-05,0,5.49111,6.69534,4.22783,0.00657786,0.00657786,0.00657786
3,34.3204,4.08444,4.46129,3.08152,0.00478,0.25926,0.03084,0.00761,3.25627,3.61518,2.53922,0.00988494,0.00988494,0.00988494
4,45.1185,3.14968,2.82046,1.94824,0.09576,0.05239,0.02283,0.00517,3.6877,4.04094,3.98244,0.0099406,0.0099406,0.0099406
5,55.844,2.82004,2.35933,1.63693,0.25061,0.22945,0.1473,0.04695,2.68093,2.68972,1.74871,0.0099208,0.0099208,0.0099208
6,66.5356,2.56477,2.01399,1.48149,0.29063,0.23758,0.17318,0.06021,2.49348,2.42854,1.59454,0.009901,0.009901,0.009901
7,77.2191,2.46073,1.79084,1.38245,0.47477,0.30804,0.29982,0.10813,2.39997,2.17424,1.5332,0.0098812,0.0098812,0.0098812
8,87.8967,2.29929,1.65945,1.32795,0.52471,0.40379,0.38157,0.14084,2.2773,1.74535,1.43375,0.0098614,0.0098614,0.0098614
9,98.7635,2.24025,1.5422,1.30231,0.53522,0.37449,0.37103,0.13807,2.2434,1.84422,1.41722,0.0098416,0.0098416,0.0098416
10,109.704,2.15859,1.4613,1.28407,0.60149,0.39814,0.42443,0.15945,2.24109,1.71062,1.39584,0.0098218,0.0098218,0.0098218
11,120.643,2.13115,1.37216,1.24298,0.61504,0.42096,0.43186,0.17371,2.14187,1.62919,1.34399,0.009802,0.009802,0.009802
12,131.342,2.06268,1.30713,1.21934,0.69931,0.52665,0.57873,0.2394,1.96889,1.34391,1.30614,0.0097822,0.0097822,0.0097822
13,141.989,2.02725,1.27175,1.22103,0.69249,0.53502,0.58985,0.24104,1.99387,1.34524,1.31224,0.0097624,0.0097624,0.0097624
14,152.809,2.01777,1.25628,1.21036,0.64181,0.42999,0.48862,0.19057,2.09501,1.72907,1.32524,0.0097426,0.0097426,0.0097426
15,163.699,1.97323,1.21279,1.21694,0.63642,0.49774,0.52342,0.20675,2.02865,1.65119,1.30985,0.0097228,0.0097228,0.0097228
16,174.46,1.93529,1.17181,1.17386,0.72572,0.61879,0.66218,0.28576,1.84879,1.11679,1.24859,0.009703,0.009703,0.009703
17,185.117,1.87082,1.13296,1.15882,0.67637,0.60981,0.64152,0.27756,1.89128,1.20058,1.25994,0.0096832,0.0096832,0.0096832
18,195.895,1.88081,1.1216,1.15849,0.73905,0.61145,0.66576,0.28173,1.84365,1.17104,1.23013,0.0096634,0.0096634,0.0096634
19,206.589,1.86623,1.11353,1.16146,0.7626,0.56911,0.63639,0.27034,1.85762,1.32221,1.22842,0.0096436,0.0096436,0.0096436
20,217.278,1.83712,1.08334,1.15149,0.69179,0.55917,0.58203,0.23894,1.93978,1.33885,1.26412,0.0096238,0.0096238,0.0096238
21,227.888,1.83297,1.07144,1.14699,0.81508,0.61337,0.70857,0.31847,1.76937,1.05747,1.20065,0.009604,0.009604,0.009604
22,238.725,1.79783,1.03449,1.12566,0.80567,0.61698,0.71913,0.32175,1.7397,1.03714,1.19919,0.0095842,0.0095842,0.0095842
23,249.702,1.76521,1.01882,1.12561,0.69048,0.55465,0.6033,0.25054,1.89361,1.39217,1.24675,0.0095644,0.0095644,0.0095644
24,260.436,1.76158,0.9903,1.11379,0.80169,0.68744,0.74585,0.32696,1.73461,1.04223,1.18391,0.0095446,0.0095446,0.0095446
25,271.332,1.75666,0.98944,1.11894,0.7923,0.5953,0.67762,0.30114,1.7769,1.13393,1.20637,0.0095248,0.0095248,0.0095248
26,282.262,1.73302,0.97612,1.09856,0.75893,0.62602,0.67402,0.29349,1.7889,1.11005,1.21644,0.009505,0.009505,0.009505
27,293.168,1.74022,0.96612,1.11097,0.79501,0.65492,0.72539,0.33021,1.73394,0.98691,1.17562,0.0094852,0.0094852,0.0094852
28,303.87,1.70893,0.97171,1.10442,0.67398,0.46612,0.50803,0.22781,1.87804,1.51069,1.27317,0.0094654,0.0094654,0.0094654
29,314.54,1.71314,0.95143,1.09022,0.81605,0.69738,0.75861,0.35159,1.69597,0.96867,1.17343,0.0094456,0.0094456,0.0094456
30,325.455,1.67972,0.92949,1.08592,0.76615,0.61558,0.67944,0.31574,1.72428,1.0934,1.20371,0.0094258,0.0094258,0.0094258
31,336.217,1.68801,0.92941,1.07815,0.78512,0.65583,0.73139,0.32843,1.74424,1.00172,1.19477,0.009406,0.009406,0.009406
32,347.029,1.65796,0.91056,1.07659,0.81811,0.71364,0.76467,0.3539,1.66306,0.9626,1.16697,0.0093862,0.0093862,0.0093862
33,357.708,1.63953,0.89244,1.07246,0.77162,0.70822,0.76121,0.36062,1.63215,0.93518,1.14746,0.0093664,0.0093664,0.0093664
34,368.576,1.64988,0.88475,1.0837,0.81884,0.66125,0.72184,0.32278,1.72694,1.00058,1.17163,0.0093466,0.0093466,0.0093466
35,379.551,1.63661,0.88024,1.08007,0.77348,0.63686,0.70245,0.315,1.71563,1.00595,1.16285,0.0093268,0.0093268,0.0093268
36,390.455,1.61716,0.87929,1.05597,0.78562,0.70099,0.74638,0.35144,1.68022,0.94968,1.16737,0.009307,0.009307,0.009307
37,401.365,1.63624,0.88756,1.07066,0.8282,0.68925,0.77337,0.35472,1.63837,0.91966,1.13862,0.0092872,0.0092872,0.0092872
38,412.045,1.61939,0.87239,1.05928,0.81275,0.70009,0.76862,0.3473,1.6678,0.88461,1.16536,0.0092674,0.0092674,0.0092674
39,422.864,1.61557,0.86562,1.0583,0.79092,0.63901,0.72464,0.31646,1.7338,1.007,1.18359,0.0092476,0.0092476,0.0092476
40,433.564,1.60774,0.86802,1.06677,0.81117,0.71996,0.78575,0.35575,1.67935,0.91827,1.15866,0.0092278,0.0092278,0.0092278
41,444.355,1.56765,0.84108,1.04805,0.76829,0.68383,0.72406,0.33863,1.68247,1.00598,1.17777,0.009208,0.009208,0.009208
42,455.281,1.58411,0.83446,1.04984,0.81018,0.72267,0.77085,0.36496,1.64507,0.90149,1.16114,0.0091882,0.0091882,0.0091882
43,466.211,1.57582,0.83233,1.06112,0.77737,0.66847,0.71974,0.3371,1.69377,0.97592,1.18736,0.0091684,0.0091684,0.0091684
44,477.068,1.54011,0.81376,1.0212,0.84843,0.71299,0.79495,0.37669,1.61981,0.93621,1.14254,0.0091486,0.0091486,0.0091486
45,488.044,1.56188,0.82332,1.04386,0.84508,0.68564,0.78024,0.36906,1.61016,0.91,1.13129,0.0091288,0.0091288,0.0091288
46,498.959,1.56057,0.82118,1.05213,0.83495,0.73573,0.81266,0.38664,1.59809,0.86059,1.12513,0.009109,0.009109,0.009109
47,509.857,1.5537,0.82047,1.03906,0.83477,0.75339,0.81352,0.3872,1.63927,0.8523,1.15781,0.0090892,0.0090892,0.0090892
