epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.721,4.10259,9.3981,4.00519,0.7908,0.02168,0.00875,0.00171,3.77249,7.88778,2.47955,0.00332534,0.00332534,0.00332534
2,144.211,3.00999,3.86749,2.14319,0.27903,0.08057,0.02806,0.00795,3.1176,4.84044,1.89765,0.0066367,0.0066367,0.0066367
3,215.741,2.7343,3.04239,1.86458,0.4532,0.1205,0.07608,0.02549,2.76261,2.83496,1.65199,0.00992606,0.00992606,0.00992606
4,286.939,2.62162,2.7805,1.75358,0.01151,0.13298,0.0108,0.00316,3.28702,4.0609,1.87713,0.009901,0.009901,0.009901
5,357.07,2.51365,2.62686,1.69102,0.52132,0.16621,0.11586,0.03916,2.54099,2.69495,1.53826,0.009868,0.009868,0.009868
6,427.771,2.43796,2.52357,1.60926,0.47944,0.21799,0.15573,0.04985,2.44596,2.50705,1.52914,0.009835,0.009835,0.009835
7,499.024,2.38977,2.4641,1.60127,0.40757,0.23214,0.17944,0.0602,2.55652,2.41916,1.557,0.009802,0.009802,0.009802
8,569.996,2.36498,2.4004,1.57688,0.56194,0.21286,0.14283,0.05855,2.52963,2.51664,1.53463,0.009769,0.009769,0.009769
9,640.509,2.33004,2.34235,1.55701,0.43922,0.20104,0.16176,0.05905,2.36452,2.229,1.49067,0.009736,0.009736,0.009736
10,711.14,2.30883,2.28482,1.54024,0.54908,0.29113,0.22596,0.08681,2.40091,2.26147,1.49283,0.009703,0.009703,0.009703
11,781.255,2.28163,2.25175,1.51105,0.46053,0.05406,0.07092,0.0216,2.80304,3.84577,1.62616,0.00967,0.00967,0.00967
12,851.519,2.26496,2.19823,1.52336,0.40409,0.24779,0.27985,0.11825,2.38776,2.16245,1.47718,0.009637,0.009637,0.009637
13,921.643,2.25698,2.15742,1.48815,0.6046,0.255,0.21573,0.08842,2.34406,2.06133,1.46585,0.009604,0.009604,0.009604
14,991.83,2.2281,2.13313,1.49952,0.47377,0.2359,0.2625,0.1046,2.34506,2.19131,1.44696,0.009571,0.009571,0.009571
15,1062.42,2.23763,2.11288,1.48051,0.51445,0.29362,0.29887,0.11295,2.38533,2.04146,1.47505,0.009538,0.009538,0.009538
16,1133.13,2.21674,2.08934,1.48031,0.40943,0.39928,0.35241,0.14074,2.27385,2.08079,1.43497,0.009505,0.009505,0.009505
17,1204.17,2.21113,2.05,1.46914,0.39779,0.30658,0.26478,0.11881,2.28289,1.98106,1.42783,0.009472,0.009472,0.009472
18,1274.58,2.20647,2.01482,1.45625,0.47736,0.48,0.46153,0.20171,2.2804,1.90762,1.39332,0.009439,0.009439,0.009439
19,1344.61,2.1766,1.99419,1.45772,0.5522,0.40754,0.52296,0.21899,2.22541,1.91192,1.40538,0.009406,0.009406,0.009406
20,1414.54,2.17373,1.9879,1.45402,0.58144,0.38518,0.37546,0.17652,2.34794,1.92225,1.44026,0.009373,0.009373,0.009373
21,1484.65,2.16934,1.96548,1.44587,0.5926,0.28659,0.43717,0.17259,2.29362,1.8974,1.40561,0.00934,0.00934,0.00934
22,1555.19,2.17241,1.9425,1.42151,0.46052,0.5091,0.54412,0.21496,2.24588,1.85456,1.38732,0.009307,0.009307,0.009307
23,1625.62,2.14322,1.91067,1.42748,0.54979,0.40728,0.53034,0.25443,2.26583,1.85212,1.4079,0.009274,0.009274,0.009274
24,1697.07,2.13969,1.90119,1.4235,0.51277,0.42591,0.52178,0.23604,2.20732,1.83007,1.40563,0.009241,0.009241,0.009241
25,1768.11,2.13373,1.88968,1.40726,0.59748,0.40769,0.52359,0.25931,2.19202,1.81417,1.34634,0.009208,0.009208,0.009208
26,1839,2.13086,1.86024,1.4125,0.53344,0.52611,0.54133,0.24706,2.27047,1.82685,1.38538,0.009175,0.009175,0.009175
27,1910.03,2.11749,1.853,1.41294,0.43744,0.51856,0.54176,0.25615,2.15398,1.74757,1.32753,0.009142,0.009142,0.009142
28,1980.11,2.10849,1.83557,1.41132,0.58721,0.46444,0.48779,0.27124,2.17572,1.82092,1.38278,0.009109,0.009109,0.009109
29,2050.76,2.09026,1.81795,1.3921,0.4356,0.60172,0.50577,0.22639,2.20416,1.80542,1.39293,0.009076,0.009076,0.009076
30,2121.62,2.09226,1.80188,1.39097,0.563,0.53934,0.54334,0.26213,2.17818,1.76989,1.35266,0.009043,0.009043,0.009043
31,2191.88,2.08275,1.79259,1.39882,0.51081,0.56694,0.5596,0.27617,2.14827,1.72872,1.32812,0.00901,0.00901,0.00901
32,2262.98,2.07149,1.75089,1.37601,0.48056,0.5443,0.55751,0.28205,2.15542,1.71925,1.34341,0.008977,0.008977,0.008977
33,2333.96,2.06657,1.7597,1.39178,0.59953,0.55647,0.58019,0.28263,2.16559,1.73031,1.3374,0.008944,0.008944,0.008944
34,2404.68,2.05673,1.73594,1.36626,0.57573,0.50559,0.56019,0.28703,2.14564,1.76215,1.3307,0.008911,0.008911,0.008911
35,2475.88,2.04216,1.71838,1.37255,0.5767,0.47003,0.5615,0.29993,2.13808,1.70404,1.3236,0.008878,0.008878,0.008878
36,2547.19,2.04443,1.70247,1.37454,0.54728,0.57064,0.56657,0.27797,2.13841,1.71626,1.33092,0.008845,0.008845,0.008845
37,2617.71,2.04594,1.70004,1.36902,0.55386,0.589,0.58098,0.28458,2.12991,1.68897,1.32173,0.008812,0.008812,0.008812
38,2688.18,2.03834,1.69038,1.36647,0.50607,0.5828,0.57269,0.27892,2.13434,1.7091,1.32801,0.008779,0.008779,0.008779
39,2758.83,2.0425,1.66668,1.3606,0.57577,0.52821,0.54927,0.27438,2.16105,1.72004,1.33258,0.008746,0.008746,0.008746
40,2829.4,2.02129,1.66372,1.36867,0.59403,0.4254,0.57279,0.28392,2.13875,1.69604,1.33896,0.008713,0.008713,0.008713
41,2899.57,2.02468,1.66144,1.36445,0.56787,0.60977,0.60932,0.293,2.13164,1.67614,1.31808,0.00868,0.00868,0.00868
42,2970.42,2.00609,1.63507,1.34275,0.56689,0.61261,0.6073,0.30605,2.12641,1.6847,1.33327,0.008647,0.008647,0.008647
43,3041.19,2.01285,1.62788,1.35258,0.51465,0.60467,0.57646,0.28072,2.11314,1.68196,1.30913,0.008614,0.008614,0.008614
44,3111.72,2,1.61622,1.34615,0.49343,0.63865,0.58463,0.31136,2.11078,1.66973,1.30949,0.008581,0.008581,0.008581
45,3182.39,1.9948,1.60322,1.34846,0.50553,0.61793,0.58224,0.29422,2.11834,1.65293,1.30928,0.008548,0.008548,0.008548
46,3253.62,1.99377,1.58938,1.34324,0.51995,0.62961,0.58557,0.30325,2.12376,1.6692,1.319,0.008515,0.008515,0.008515
47,3324.42,1.99182,1.59904,1.34284,0.52538,0.57313,0.59483,0.30459,2.12524,1.67779,1.31467,0.008482,0.008482,0.008482
48,3395.17,1.97775,1.56332,1.31758,0.54306,0.56991,0.58455,0.2932,2.12794,1.65654,1.3209,0.008449,0.008449,0.008449
49,3465.13,1.97046,1.55326,1.31972,0.49977,0.5858,0.584,0.2816,2.12655,1.67354,1.32456,0.008416,0.008416,0.008416
50,3536.3,1.97064,1.54448,1.32218,0.48088,0.62816,0.58176,0.29257,2.11965,1.65752,1.31932,0.008383,0.008383,0.008383
51,3606.96,1.96776,1.55447,1.32798,0.474,0.62611,0.58148,0.28898,2.12681,1.66504,1.31508,0.00835,0.00835,0.00835
52,3677.41,1.9515,1.52562,1.32433,0.49248,0.60463,0.5923,0.28754,2.12309,1.66143,1.31058,0.008317,0.008317,0.008317
53,3747.76,1.95183,1.51802,1.31138,0.46111,0.61016,0.59027,0.28968,2.1189,1.66294,1.31228,0.008284,0.008284,0.008284
