epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1356,3.10627,5.62303,3.43304,4.18143,0.0034,0.94694,0.05295,0.02491,0.00334,0.93061,0.04595,0.02228,1.77735,3.37313,3.85975,4.12978,0.00331111,0.00331111,0.00331111
2,52.9279,3.01834,1.7392,3.13344,4.00457,0.1163,0.46939,0.09501,0.03923,0.11396,0.4068,0.08104,0.03126,2.0732,2.97942,3.81073,3.77226,0.00662252,0.00662252,0.00662252
3,78.6018,2.2355,0.99788,2.15338,2.93505,0.81236,0.80952,0.86415,0.56142,0.8174,0.80408,0.85974,0.56581,1.41149,0.9541,1.70765,2.81856,0.00991192,0.00991192,0.00991192
4,103.862,1.39902,0.81982,1.08247,1.98232,0.97463,0.88853,0.92001,0.77318,0.97164,0.88581,0.9181,0.81828,0.78729,0.85614,0.85693,1.6589,0.009901,0.009901,0.009901
5,128.987,1.04391,0.75088,0.77982,1.59279,0.95343,0.91837,0.94239,0.81433,0.95343,0.91837,0.94204,0.84074,0.73352,0.70714,0.70617,1.48376,0.009868,0.009868,0.009868
6,154.206,0.90811,0.72827,0.67253,1.45031,0.96772,0.91701,0.93557,0.84807,0.97023,0.91973,0.93692,0.82539,0.67917,0.8546,0.79502,1.47091,0.009835,0.009835,0.009835
7,180.312,0.83626,0.65681,0.60467,1.37361,0.95305,0.88707,0.93309,0.8357,0.95305,0.88707,0.93074,0.80385,0.6831,0.99931,0.65565,1.41494,0.009802,0.009802,0.009802
8,206.533,0.78637,0.6301,0.578,1.32475,0.96714,0.9211,0.93728,0.86955,0.96714,0.9211,0.9356,0.88241,0.4839,0.66594,0.68355,1.15622,0.009769,0.009769,0.009769
9,232.939,0.77185,0.62049,0.56499,1.29852,0.98413,0.92802,0.95129,0.89674,0.98413,0.92802,0.94918,0.9076,0.38585,0.58201,0.60836,1.08273,0.009736,0.009736,0.009736
10,259.377,0.72718,0.60677,0.53553,1.25269,0.97895,0.92925,0.9534,0.91259,0.97895,0.92925,0.94821,0.91001,0.36876,0.6036,0.4994,1.0301,0.009703,0.009703,0.009703
11,285.19,0.7189,0.60187,0.52741,1.25005,0.99206,0.93333,0.96075,0.9197,0.99679,0.92381,0.95475,0.9215,0.32246,0.56634,0.44578,0.98805,0.00967,0.00967,0.00967
12,310.554,0.68958,0.57581,0.50552,1.22596,0.97791,0.93878,0.95712,0.92256,0.97789,0.93741,0.95236,0.91899,0.33083,0.59084,0.61685,0.98276,0.009637,0.009637,0.009637
13,336.387,0.6848,0.55245,0.49733,1.21859,0.9913,0.93022,0.96104,0.92799,0.98862,0.92653,0.95944,0.92855,0.30494,0.57338,0.46738,0.98602,0.009604,0.009604,0.009604
14,362.409,0.65819,0.51516,0.47841,1.19498,0.98867,0.92789,0.9431,0.90848,0.98867,0.92789,0.942,0.90609,0.33996,0.57527,0.48073,0.97572,0.009571,0.009571,0.009571
15,388.49,0.65891,0.51405,0.46785,1.19172,0.99463,0.92653,0.94179,0.91546,0.99416,0.92693,0.94109,0.91438,0.32491,0.56181,0.54914,0.95813,0.009538,0.009538,0.009538
16,414.695,0.65005,0.54983,0.47009,1.18488,0.98635,0.93605,0.95449,0.92403,0.98551,0.93605,0.95364,0.92506,0.29343,0.54096,0.35415,0.94714,0.009505,0.009505,0.009505
17,440.383,0.64359,0.53763,0.46593,1.17695,0.97327,0.9411,0.95776,0.91547,0.96903,0.93741,0.95496,0.90983,0.33102,0.61633,0.37698,0.97603,0.009472,0.009472,0.009472
18,465.946,0.62466,0.50426,0.4466,1.15903,0.98701,0.93057,0.94926,0.92056,0.98704,0.93245,0.94884,0.92456,0.28136,0.5245,0.46426,0.91313,0.009439,0.009439,0.009439
19,491.181,0.61235,0.48799,0.44411,1.15674,0.98802,0.93605,0.95598,0.92537,0.98946,0.93741,0.95529,0.93091,0.2728,0.51188,0.36852,0.92769,0.009406,0.009406,0.009406
20,517.446,0.61283,0.49319,0.44074,1.16026,0.99272,0.92742,0.95395,0.91968,0.99126,0.92606,0.953,0.92848,0.31974,0.52644,0.39695,0.96667,0.009373,0.009373,0.009373
21,542.808,0.61069,0.50438,0.44414,1.16409,0.98844,0.93878,0.96505,0.93495,0.98844,0.93878,0.96344,0.93855,0.268,0.54091,0.30368,0.90311,0.00934,0.00934,0.00934
22,568.241,0.61671,0.49103,0.44354,1.1589,0.9869,0.93333,0.95132,0.92093,0.9865,0.93333,0.95018,0.92626,0.29714,0.52759,0.41885,0.94917,0.009307,0.009307,0.009307
23,593.919,0.60726,0.50011,0.44468,1.16147,0.99149,0.93061,0.95225,0.92088,0.99089,0.93333,0.95203,0.92525,0.29054,0.5297,0.4859,0.92244,0.009274,0.009274,0.009274
24,619.544,0.5992,0.48847,0.43227,1.14783,0.98911,0.93197,0.95349,0.92413,0.98622,0.92925,0.95134,0.92476,0.28981,0.64183,0.36311,0.92899,0.009241,0.009241,0.009241
25,644.883,0.59064,0.48766,0.43149,1.13675,0.98598,0.94014,0.9522,0.92612,0.98714,0.94012,0.95153,0.92902,0.25434,0.50884,0.35519,0.89516,0.009208,0.009208,0.009208
26,670.473,0.57648,0.47137,0.41119,1.12985,0.99044,0.93333,0.9641,0.93752,0.98151,0.93907,0.96055,0.93827,0.25684,0.49159,0.31012,0.89268,0.009175,0.009175,0.009175
27,696.387,0.57818,0.47053,0.41904,1.13219,0.99326,0.93469,0.95308,0.92902,0.99181,0.93333,0.95137,0.93201,0.23202,0.4901,0.41872,0.88363,0.009142,0.009142,0.009142
28,722.678,0.57462,0.4767,0.40653,1.13175,0.98995,0.93846,0.95554,0.93087,0.98966,0.94014,0.95372,0.93085,0.2548,0.49953,0.4025,0.90703,0.009109,0.009109,0.009109
29,748.026,0.55923,0.45934,0.40354,1.12174,0.99389,0.94014,0.95628,0.9309,0.99245,0.93878,0.95323,0.93292,0.23563,0.48892,0.38642,0.89358,0.009076,0.009076,0.009076
30,774.229,0.5658,0.4561,0.40841,1.12948,0.99325,0.93741,0.95543,0.93411,0.98575,0.94104,0.95402,0.93669,0.21427,0.51742,0.31661,0.88162,0.009043,0.009043,0.009043
31,800.221,0.56968,0.48061,0.40966,1.12428,0.99367,0.93741,0.96057,0.93642,0.99223,0.93605,0.95944,0.93735,0.22443,0.51909,0.362,0.8578,0.00901,0.00901,0.00901
32,825.72,0.56738,0.46322,0.40865,1.12354,0.98701,0.93333,0.96515,0.93877,0.98557,0.93197,0.96351,0.94324,0.22363,0.50692,0.30624,0.87198,0.008977,0.008977,0.008977
33,850.865,0.56459,0.45169,0.40471,1.12001,0.98854,0.9386,0.95711,0.93489,0.98854,0.9386,0.95753,0.93795,0.21183,0.42244,0.4062,0.8588,0.008944,0.008944,0.008944
34,876.583,0.54561,0.43515,0.39013,1.11042,0.99583,0.93197,0.95677,0.93343,0.99413,0.93061,0.95502,0.93429,0.22537,0.45164,0.41919,0.88092,0.008911,0.008911,0.008911
35,901.444,0.54378,0.44354,0.38936,1.10804,0.99576,0.93878,0.95622,0.93628,0.99423,0.93734,0.95469,0.93382,0.23287,0.47755,0.51058,0.88207,0.008878,0.008878,0.008878
36,926.306,0.54269,0.43515,0.38769,1.11362,0.9914,0.94107,0.966,0.93706,0.99232,0.9415,0.96385,0.94136,0.22387,0.43957,0.28633,0.8777,0.008845,0.008845,0.008845
37,951.12,0.54436,0.43794,0.38772,1.10739,0.99531,0.93741,0.95157,0.92907,0.99531,0.93741,0.95166,0.93296,0.20845,0.4718,0.39113,0.86973,0.008812,0.008812,0.008812
38,975.921,0.54692,0.4235,0.38876,1.10741,0.99391,0.94286,0.95383,0.92878,0.99248,0.9415,0.95362,0.93651,0.25478,0.45644,0.51509,0.89671,0.008779,0.008779,0.008779
39,1000.78,0.55268,0.44627,0.39543,1.11482,0.9957,0.94462,0.95598,0.93905,0.9957,0.94462,0.95575,0.94129,0.20073,0.50901,0.43341,0.8619,0.008746,0.008746,0.008746
40,1025.98,0.53648,0.44014,0.39513,1.10006,0.98543,0.94014,0.96699,0.93328,0.984,0.93878,0.96454,0.93454,0.24754,0.49293,0.27564,0.88568,0.008713,0.008713,0.008713
41,1051.03,0.5456,0.45288,0.39355,1.1058,0.99023,0.9415,0.96711,0.94245,0.9888,0.94014,0.96568,0.94122,0.2167,0.52159,0.30049,0.85635,0.00868,0.00868,0.00868
