epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.503,3.09977,5.97902,3.37534,4.18889,0.00338,0.9415,0.02765,0.0125,0.00329,0.91565,0.016,0.00415,1.75259,5.14138,3.89484,4.13737,0.00328889,0.00328889,0.00328889
2,57.808,2.96878,1.73921,3.05808,3.94767,0.19986,0.4966,0.25066,0.13347,0.2065,0.48299,0.24829,0.13285,1.95797,1.96556,3.53327,3.25826,0.00660037,0.00660037,0.00660037
3,84.8712,2.21728,0.99398,2.13135,2.91993,0.97134,0.88571,0.9049,0.55494,0.96414,0.87799,0.89788,0.55056,1.66309,1.5709,1.39425,3.06884,0.00988985,0.00988985,0.00988985
4,111.716,1.34337,0.82852,1.0651,1.95603,0.9879,0.90204,0.93047,0.72153,0.9879,0.90204,0.92842,0.7658,0.89804,0.84478,0.85435,1.84803,0.009901,0.009901,0.009901
5,138.483,0.99762,0.72073,0.74339,1.55622,0.94113,0.84898,0.92326,0.80032,0.91122,0.76327,0.84509,0.64904,0.6875,2.2512,0.77897,1.42299,0.009868,0.009868,0.009868
6,165.428,0.89842,0.68741,0.65534,1.42402,0.97011,0.91429,0.94039,0.84794,0.9697,0.91435,0.94266,0.85232,0.53603,1.18021,0.63319,1.25053,0.009835,0.009835,0.009835
7,192.5,0.81336,0.68153,0.59855,1.34805,0.98387,0.91281,0.94566,0.82541,0.9839,0.91437,0.94532,0.84495,0.59362,0.64278,0.66875,1.28656,0.009802,0.009802,0.009802
8,219.527,0.78375,0.65117,0.5777,1.31516,0.98311,0.91156,0.93427,0.86487,0.97678,0.90612,0.92625,0.82364,0.56102,0.82515,0.59293,1.26015,0.009769,0.009769,0.009769
9,246.739,0.74885,0.61586,0.55069,1.27986,0.97307,0.91837,0.95839,0.9076,0.97669,0.91199,0.95482,0.90533,0.41074,0.54879,0.5918,1.07359,0.009736,0.009736,0.009736
10,273.668,0.71705,0.61186,0.53046,1.2337,0.9727,0.92245,0.94712,0.90623,0.97413,0.92381,0.94591,0.91181,0.33142,0.60937,0.54783,0.98938,0.009703,0.009703,0.009703
11,300.395,0.70456,0.56992,0.50537,1.22764,0.96836,0.91622,0.94779,0.90133,0.96836,0.91622,0.94906,0.89577,0.39694,0.5384,0.54753,1.06121,0.00967,0.00967,0.00967
12,327.534,0.68793,0.53318,0.49682,1.21365,0.98689,0.92153,0.95972,0.90791,0.97861,0.93353,0.95863,0.91499,0.33836,0.61471,0.41381,0.97354,0.009637,0.009637,0.009637
