epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9496,5.04578,13.2097,3.85666,4e-05,0.00271,2e-05,0,5.50687,10.1248,4.21216,0.000651515,0.000651515,0.000651515
2,23.8919,3.1227,3.61853,2.09552,0.00052,0.01987,0.00027,0.0001,4.21182,5.60062,3.3228,0.00131383,0.00131383,0.00131383
3,32.6,2.82822,2.63113,1.65951,0.33402,0.23758,0.19119,0.06292,2.68545,2.61355,1.71581,0.00197175,0.00197175,0.00197175
4,41.2817,2.53445,2.08091,1.46941,0.39768,0.32148,0.28331,0.09569,2.48271,2.01621,1.60482,0.0019802,0.0019802,0.0019802
5,49.9306,2.39298,1.84813,1.40364,0.52065,0.41554,0.41043,0.14777,2.29106,1.9242,1.46858,0.0019736,0.0019736,0.0019736
6,58.5286,2.25373,1.62564,1.33995,0.57576,0.44354,0.44465,0.16365,2.26446,1.76867,1.41151,0.001967,0.001967,0.001967
7,67.2212,2.18572,1.49252,1.2779,0.59365,0.41175,0.43175,0.16555,2.15714,1.90798,1.39162,0.0019604,0.0019604,0.0019604
8,75.8691,2.094,1.41974,1.24203,0.55168,0.4013,0.41399,0.14283,2.2191,1.63837,1.39251,0.0019538,0.0019538,0.0019538
9,84.4694,2.07242,1.34887,1.23891,0.65849,0.49774,0.53998,0.21407,2.10233,1.45121,1.32881,0.0019472,0.0019472,0.0019472
10,93.1014,2.00404,1.29506,1.21893,0.71659,0.52123,0.5695,0.23236,1.99242,1.38706,1.29488,0.0019406,0.0019406,0.0019406
11,101.766,1.9934,1.26094,1.20323,0.67535,0.57182,0.61106,0.23635,1.97758,1.34108,1.26677,0.001934,0.001934,0.001934
12,110.489,1.98998,1.23818,1.19477,0.73785,0.58627,0.64649,0.27088,1.85976,1.21405,1.21913,0.0019274,0.0019274,0.0019274
13,119.164,1.93011,1.191,1.17744,0.78908,0.59142,0.6707,0.29404,1.82294,1.18898,1.21262,0.0019208,0.0019208,0.0019208
14,127.828,1.9323,1.21324,1.1716,0.73293,0.56007,0.63372,0.27148,1.8617,1.25532,1.23213,0.0019142,0.0019142,0.0019142
15,136.424,1.91089,1.16762,1.19274,0.77759,0.60253,0.68101,0.28968,1.78452,1.14409,1.20069,0.0019076,0.0019076,0.0019076
16,145.073,1.87626,1.12834,1.14874,0.62811,0.50806,0.53297,0.22854,1.93921,1.67589,1.27082,0.001901,0.001901,0.001901
17,153.67,1.8246,1.09964,1.13205,0.77418,0.58627,0.65233,0.27682,1.86607,1.16758,1.22532,0.0018944,0.0018944,0.0018944
18,162.246,1.84424,1.0778,1.13387,0.74505,0.59924,0.67695,0.29895,1.81827,1.10114,1.20998,0.0018878,0.0018878,0.0018878
19,170.91,1.81443,1.06941,1.13834,0.76711,0.60163,0.67275,0.29543,1.80517,1.12921,1.20728,0.0018812,0.0018812,0.0018812
20,179.614,1.79813,1.04039,1.13469,0.75353,0.6656,0.71835,0.31389,1.80232,1.08633,1.22365,0.0018746,0.0018746,0.0018746
21,188.191,1.80328,1.04602,1.12788,0.76761,0.58627,0.65934,0.25883,1.92951,1.15144,1.24446,0.001868,0.001868,0.001868
22,196.808,1.76436,1.00018,1.11571,0.80226,0.62672,0.71828,0.32632,1.72882,0.97498,1.18177,0.0018614,0.0018614,0.0018614
23,205.507,1.72029,0.98365,1.09974,0.74324,0.60928,0.66186,0.2876,1.78015,1.43268,1.20798,0.0018548,0.0018548,0.0018548
24,214.14,1.74904,0.97211,1.10347,0.78644,0.61969,0.70944,0.30745,1.81635,1.00677,1.2003,0.0018482,0.0018482,0.0018482
25,222.76,1.71102,0.94567,1.09622,0.76302,0.65734,0.72626,0.31144,1.81441,1.07163,1.1916,0.0018416,0.0018416,0.0018416
26,231.415,1.74233,0.96304,1.10046,0.74711,0.61647,0.68722,0.30491,1.77926,1.09428,1.21097,0.001835,0.001835,0.001835
27,239.997,1.73138,0.93811,1.09998,0.78769,0.67118,0.72285,0.32781,1.68076,0.93684,1.15534,0.0018284,0.0018284,0.0018284
28,248.653,1.69756,0.93826,1.09755,0.79899,0.63595,0.71338,0.31646,1.7833,1.03615,1.20177,0.0018218,0.0018218,0.0018218
29,257.245,1.69278,0.91395,1.07301,0.76839,0.68744,0.74199,0.33707,1.71166,0.95452,1.17699,0.0018152,0.0018152,0.0018152
30,265.858,1.68245,0.90566,1.08655,0.76438,0.62602,0.68762,0.32652,1.71353,1.0568,1.16925,0.0018086,0.0018086,0.0018086
31,274.431,1.66149,0.92116,1.06999,0.79291,0.63987,0.70213,0.32059,1.7312,0.9595,1.18677,0.001802,0.001802,0.001802
32,283.036,1.66819,0.90318,1.07692,0.81263,0.64228,0.72804,0.33687,1.72793,0.999,1.168,0.0017954,0.0017954,0.0017954
33,291.64,1.63031,0.86537,1.06403,0.79325,0.67238,0.74733,0.33882,1.71158,0.94442,1.17601,0.0017888,0.0017888,0.0017888
34,300.262,1.63526,0.86971,1.07479,0.79867,0.68564,0.75558,0.35829,1.67804,0.99013,1.16463,0.0017822,0.0017822,0.0017822
35,308.878,1.63856,0.87959,1.0743,0.80636,0.6495,0.72263,0.3216,1.72035,1.02215,1.16014,0.0017756,0.0017756,0.0017756
36,317.457,1.6244,0.8774,1.05835,0.76774,0.61518,0.68922,0.31786,1.73516,1.01088,1.17319,0.001769,0.001769,0.001769
37,326.008,1.64184,0.88323,1.07005,0.7886,0.63015,0.71865,0.3163,1.74033,0.98374,1.17569,0.0017624,0.0017624,0.0017624
38,334.524,1.58594,0.84592,1.05221,0.8325,0.65673,0.73794,0.32991,1.72079,0.88774,1.16538,0.0017558,0.0017558,0.0017558
39,343.013,1.59912,0.8502,1.05702,0.79293,0.71256,0.76483,0.35298,1.66265,0.92672,1.14823,0.0017492,0.0017492,0.0017492
40,351.302,1.59374,0.84798,1.05978,0.82636,0.65763,0.74267,0.34579,1.68273,0.95298,1.15767,0.0017426,0.0017426,0.0017426
41,359.801,1.56602,0.83417,1.04581,0.83176,0.69669,0.77887,0.37644,1.60838,0.8561,1.13255,0.001736,0.001736,0.001736
42,368.399,1.58034,0.83108,1.04383,0.81894,0.6864,0.76214,0.3495,1.67639,0.881,1.15752,0.0017294,0.0017294,0.0017294
43,376.958,1.59782,0.83707,1.06201,0.78199,0.67722,0.72801,0.33167,1.72256,0.9662,1.17478,0.0017228,0.0017228,0.0017228
44,385.324,1.53745,0.79809,1.0194,0.80802,0.70339,0.77784,0.37984,1.64913,0.8821,1.16118,0.0017162,0.0017162,0.0017162
45,393.632,1.55129,0.81873,1.04345,0.82468,0.71387,0.78283,0.37577,1.64701,0.85724,1.14697,0.0017096,0.0017096,0.0017096
46,401.922,1.55568,0.81076,1.04621,0.82513,0.7019,0.77455,0.37148,1.62266,0.88127,1.13653,0.001703,0.001703,0.001703
47,410.227,1.53619,0.80591,1.03373,0.77986,0.69377,0.75443,0.35697,1.68404,0.89987,1.16714,0.0016964,0.0016964,0.0016964
48,418.501,1.53625,0.79005,1.02439,0.84724,0.67635,0.78274,0.38073,1.6172,0.86879,1.1444,0.0016898,0.0016898,0.0016898
49,427.061,1.54103,0.80588,1.03327,0.78334,0.72538,0.78103,0.37118,1.63453,0.87613,1.1304,0.0016832,0.0016832,0.0016832
50,435.417,1.51552,0.78258,1.03081,0.79532,0.70553,0.77039,0.37361,1.62278,0.86186,1.13599,0.0016766,0.0016766,0.0016766
51,443.939,1.52309,0.77936,1.0189,0.82083,0.73666,0.8032,0.39406,1.59671,0.83371,1.13575,0.00167,0.00167,0.00167
52,452.385,1.51431,0.7753,1.03355,0.81226,0.72809,0.79163,0.38031,1.63505,0.85059,1.14101,0.0016634,0.0016634,0.0016634
53,460.68,1.51451,0.77965,1.02182,0.83717,0.71183,0.78997,0.39359,1.63433,0.86463,1.14191,0.0016568,0.0016568,0.0016568
54,469.02,1.54017,0.77571,1.0363,0.80887,0.71906,0.78676,0.38613,1.58082,0.84027,1.12284,0.0016502,0.0016502,0.0016502
55,477.336,1.49327,0.75421,1.02151,0.81906,0.73261,0.78165,0.38399,1.5814,0.81898,1.10842,0.0016436,0.0016436,0.0016436
56,485.59,1.46333,0.73669,1.00881,0.78746,0.71635,0.78189,0.38858,1.58384,0.82856,1.12939,0.001637,0.001637,0.001637
57,493.876,1.49475,0.75778,1.01606,0.79456,0.75467,0.80626,0.39997,1.56904,0.8052,1.10851,0.0016304,0.0016304,0.0016304
58,502.173,1.46707,0.73281,1.00857,0.83676,0.75158,0.81634,0.38864,1.61954,0.82545,1.13135,0.0016238,0.0016238,0.0016238
59,510.433,1.48038,0.74513,1.00815,0.82299,0.72629,0.80119,0.38709,1.58904,0.81539,1.1366,0.0016172,0.0016172,0.0016172
60,518.717,1.46045,0.74807,1.01163,0.8109,0.73215,0.79461,0.38177,1.61026,0.81894,1.12244,0.0016106,0.0016106,0.0016106
61,527.054,1.48203,0.77163,1.02538,0.79098,0.72087,0.77595,0.38423,1.58842,0.80795,1.12733,0.001604,0.001604,0.001604
62,535.347,1.46159,0.73862,1.00081,0.79425,0.73713,0.78663,0.3806,1.61056,0.81151,1.12503,0.0015974,0.0015974,0.0015974
63,543.632,1.50332,0.76753,1.02629,0.82637,0.70732,0.77897,0.36391,1.64014,0.85542,1.14442,0.0015908,0.0015908,0.0015908
64,551.928,1.46474,0.73846,1.0158,0.85304,0.75429,0.82082,0.40421,1.56742,0.82631,1.10841,0.0015842,0.0015842,0.0015842
65,560.271,1.44488,0.72842,0.9995,0.83036,0.74435,0.81128,0.4022,1.56404,0.80962,1.11193,0.0015776,0.0015776,0.0015776
66,568.565,1.45351,0.74551,1.00945,0.8435,0.75339,0.82266,0.40737,1.54829,0.8182,1.10845,0.001571,0.001571,0.001571
67,577.096,1.44839,0.74147,1.00265,0.83365,0.72267,0.79608,0.39483,1.5979,0.84643,1.13957,0.0015644,0.0015644,0.0015644
68,585.656,1.43097,0.72617,1.00541,0.86883,0.74074,0.82741,0.40256,1.57137,0.7773,1.10711,0.0015578,0.0015578,0.0015578
69,594.215,1.44752,0.73352,1.0094,0.84142,0.76061,0.82752,0.40886,1.55947,0.77906,1.11963,0.0015512,0.0015512,0.0015512
70,602.584,1.44101,0.72162,1.00236,0.82121,0.71906,0.78939,0.38879,1.57077,0.81783,1.13251,0.0015446,0.0015446,0.0015446
71,610.875,1.411,0.7108,0.99844,0.83796,0.74435,0.81064,0.40643,1.55894,0.77194,1.11787,0.001538,0.001538,0.001538
72,619.181,1.42656,0.71707,0.99631,0.86114,0.7308,0.81751,0.40682,1.53988,0.76585,1.11251,0.0015314,0.0015314,0.0015314
73,627.496,1.40834,0.71392,0.98875,0.81353,0.77145,0.82273,0.4017,1.55604,0.77893,1.10213,0.0015248,0.0015248,0.0015248
74,635.991,1.38003,0.69917,0.99457,0.82409,0.76176,0.81743,0.40599,1.54134,0.78566,1.10753,0.0015182,0.0015182,0.0015182
75,644.552,1.40976,0.69954,0.99176,0.82507,0.75842,0.82217,0.41315,1.57269,0.81817,1.11352,0.0015116,0.0015116,0.0015116
76,653.127,1.40071,0.70291,0.99405,0.81709,0.75864,0.80311,0.39911,1.57059,0.80535,1.1097,0.001505,0.001505,0.001505
77,661.697,1.39452,0.69454,0.98946,0.84978,0.75971,0.83623,0.41708,1.53941,0.76897,1.10444,0.0014984,0.0014984,0.0014984
78,670.283,1.39029,0.69764,0.98142,0.82644,0.75339,0.82553,0.41376,1.52998,0.78319,1.09553,0.0014918,0.0014918,0.0014918
79,678.866,1.40463,0.68228,0.9809,0.82882,0.7579,0.818,0.42002,1.54626,0.78588,1.11006,0.0014852,0.0014852,0.0014852
80,687.498,1.37988,0.67965,0.9953,0.8584,0.74616,0.83851,0.42936,1.52456,0.74883,1.10536,0.0014786,0.0014786,0.0014786
81,696.125,1.37336,0.68047,0.98458,0.84417,0.78295,0.83241,0.42578,1.50875,0.76319,1.10172,0.001472,0.001472,0.001472
82,704.716,1.35189,0.67166,0.98183,0.83457,0.77931,0.82997,0.42096,1.53488,0.798,1.09995,0.0014654,0.0014654,0.0014654
83,713.274,1.39583,0.69361,0.98693,0.84449,0.76874,0.82503,0.40457,1.55395,0.794,1.10544,0.0014588,0.0014588,0.0014588
84,721.83,1.36578,0.66857,0.99378,0.83752,0.76965,0.82577,0.42023,1.51372,0.764,1.10251,0.0014522,0.0014522,0.0014522
85,730.395,1.36428,0.66516,0.98268,0.87169,0.74887,0.83304,0.42709,1.50827,0.744,1.10244,0.0014456,0.0014456,0.0014456
86,738.985,1.3619,0.67125,0.97995,0.84385,0.77621,0.84102,0.42201,1.53078,0.77098,1.1,0.001439,0.001439,0.001439
87,747.442,1.35831,0.67164,0.97814,0.8384,0.77778,0.82854,0.40965,1.54267,0.7495,1.10105,0.0014324,0.0014324,0.0014324
88,755.965,1.34769,0.67239,0.97788,0.86404,0.76354,0.83553,0.42296,1.50432,0.73191,1.10376,0.0014258,0.0014258,0.0014258
89,764.516,1.33814,0.66452,0.9715,0.85406,0.7771,0.84604,0.43437,1.48377,0.75523,1.09214,0.0014192,0.0014192,0.0014192
90,773.115,1.36841,0.66954,0.97949,0.85687,0.77335,0.84394,0.42528,1.51227,0.72721,1.10018,0.0014126,0.0014126,0.0014126
91,781.441,1.33621,0.66471,0.96618,0.8223,0.78591,0.8364,0.41813,1.50449,0.75667,1.08886,0.001406,0.001406,0.001406
92,789.744,1.33202,0.65619,0.96445,0.84187,0.77507,0.83444,0.42152,1.52758,0.7823,1.10599,0.0013994,0.0013994,0.0013994
93,798.128,1.3281,0.65328,0.96841,0.85179,0.75881,0.83665,0.42402,1.50413,0.73221,1.09376,0.0013928,0.0013928,0.0013928
94,806.656,1.31767,0.65467,0.96094,0.86546,0.74959,0.84045,0.42093,1.51094,0.72643,1.10374,0.0013862,0.0013862,0.0013862
95,815.193,1.33028,0.65042,0.96531,0.88738,0.75881,0.85056,0.43607,1.4805,0.72888,1.08725,0.0013796,0.0013796,0.0013796
96,823.726,1.32148,0.64314,0.96054,0.84492,0.78229,0.83597,0.41935,1.51427,0.74061,1.0951,0.001373,0.001373,0.001373
97,832.018,1.31524,0.64837,0.96381,0.85536,0.78229,0.84684,0.4305,1.47487,0.7091,1.09561,0.0013664,0.0013664,0.0013664
98,840.307,1.32312,0.64724,0.96568,0.83383,0.79313,0.8409,0.4296,1.49885,0.70822,1.09412,0.0013598,0.0013598,0.0013598
99,848.602,1.35545,0.66012,0.97491,0.86983,0.77687,0.84597,0.43826,1.48531,0.67662,1.09162,0.0013532,0.0013532,0.0013532
100,856.908,1.29408,0.62899,0.96642,0.85148,0.78862,0.84274,0.42777,1.49608,0.7285,1.09371,0.0013466,0.0013466,0.0013466
101,865.216,1.3302,0.65562,0.97074,0.844,0.78139,0.84103,0.42895,1.51495,0.73181,1.10103,0.00134,0.00134,0.00134
102,873.517,1.28956,0.62294,0.9583,0.8512,0.75881,0.82706,0.41782,1.52117,0.71783,1.10336,0.0013334,0.0013334,0.0013334
103,881.807,1.30608,0.63808,0.96493,0.81439,0.75158,0.81239,0.41811,1.50621,0.77813,1.09873,0.0013268,0.0013268,0.0013268
104,890.089,1.32426,0.65057,0.95919,0.829,0.78229,0.84151,0.42175,1.51075,0.72634,1.09656,0.0013202,0.0013202,0.0013202
105,898.382,1.28838,0.63299,0.95843,0.83791,0.78921,0.841,0.43874,1.46885,0.71033,1.07644,0.0013136,0.0013136,0.0013136
106,906.684,1.30746,0.63702,0.96689,0.86244,0.76784,0.83228,0.41461,1.53084,0.74146,1.0964,0.001307,0.001307,0.001307
107,914.997,1.29814,0.63505,0.95056,0.85962,0.77868,0.84308,0.42703,1.499,0.71512,1.08068,0.0013004,0.0013004,0.0013004
108,923.304,1.29948,0.64335,0.95778,0.84874,0.77048,0.82929,0.41495,1.53483,0.74569,1.10218,0.0012938,0.0012938,0.0012938
109,931.59,1.29745,0.6342,0.95351,0.83822,0.79042,0.84485,0.4314,1.50536,0.71348,1.0984,0.0012872,0.0012872,0.0012872
