epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7588,3.95682,8.54655,3.77474,0.72235,0.04879,0.02805,0.01009,3.42892,5.81757,2.14364,0.00332534,0.00332534,0.00332534
2,145.496,2.9155,3.5929,2.0553,0.40613,0.03519,0.02881,0.00738,3.17188,6.07427,1.94557,0.0066367,0.0066367,0.0066367
3,214.327,2.70039,2.96516,1.84709,0.56407,0.12101,0.11497,0.03406,2.81783,3.18617,1.70822,0.00992606,0.00992606,0.00992606
4,283.58,2.60583,2.74357,1.75658,0.44829,0.10146,0.0753,0.02479,2.67128,2.5399,1.59763,0.009901,0.009901,0.009901
5,352.094,2.49419,2.58924,1.69428,0.36316,0.1688,0.09326,0.03383,2.59766,3.02626,1.59549,0.009868,0.009868,0.009868
6,420.892,2.42936,2.48864,1.61813,0.47755,0.17471,0.11062,0.04047,2.51305,2.59837,1.54005,0.009835,0.009835,0.009835
7,490.029,2.38324,2.42793,1.61,0.36524,0.16271,0.11205,0.04393,2.72229,3.05646,1.60315,0.009802,0.009802,0.009802
8,558.466,2.34651,2.3606,1.57919,0.46783,0.17122,0.09921,0.03838,2.52366,2.73537,1.51145,0.009769,0.009769,0.009769
9,626.725,2.31091,2.31441,1.56641,0.45703,0.26159,0.21226,0.08115,2.47094,2.17496,1.54841,0.009736,0.009736,0.009736
10,695.519,2.28946,2.25507,1.55172,0.50668,0.2427,0.2089,0.09058,2.37264,2.27626,1.45733,0.009703,0.009703,0.009703
11,764.088,2.27501,2.22404,1.5287,0.57711,0.28334,0.24879,0.09724,2.34337,2.14361,1.46291,0.00967,0.00967,0.00967
12,833.295,2.25197,2.1741,1.53727,0.58495,0.23941,0.23823,0.10634,2.32357,2.17092,1.44482,0.009637,0.009637,0.009637
13,902.845,2.24147,2.14472,1.50535,0.61727,0.27782,0.25577,0.11539,2.29032,2.06078,1.43646,0.009604,0.009604,0.009604
