epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9611,3.10642,4.94511,3.43024,4.16479,0.00339,0.94422,0.07456,0.02889,0.00334,0.92925,0.07203,0.02758,1.75554,4.37081,3.84877,4.13316,0.00328889,0.00328889,0.00328889
2,57.5888,2.77811,1.30278,2.78361,3.67738,0.52477,0.53469,0.56004,0.3235,0.52343,0.53333,0.55685,0.30183,1.71897,1.98014,2.59627,3.07219,0.00660037,0.00660037,0.00660037
3,83.8937,1.84189,0.9571,1.6779,2.56775,0.88141,0.58095,0.67697,0.55074,0.91051,0.56756,0.6579,0.48315,1.16587,2.16614,2.11193,2.40471,0.00988985,0.00988985,0.00988985
4,109.155,1.22227,0.7952,0.95897,1.85942,0.92371,0.89388,0.91978,0.82116,0.92531,0.89524,0.92019,0.82308,0.69702,0.84809,1.06895,1.49048,0.009901,0.009901,0.009901
5,134.518,0.95325,0.69391,0.72202,1.54702,0.87041,0.86939,0.89545,0.74485,0.86695,0.86531,0.88587,0.68001,0.79287,1.86244,1.27311,1.52925,0.009868,0.009868,0.009868
6,159.862,0.87541,0.67561,0.65069,1.43667,0.94541,0.92925,0.95015,0.86196,0.94264,0.92653,0.94733,0.89245,0.51042,0.75818,0.60385,1.18199,0.009835,0.009835,0.009835
7,185.245,0.80643,0.6475,0.59483,1.3648,0.98819,0.91054,0.94217,0.86368,0.98819,0.91054,0.93786,0.84099,0.61297,0.69986,0.71779,1.25609,0.009802,0.009802,0.009802
8,210.384,0.76678,0.64248,0.57019,1.31648,0.98536,0.91973,0.95348,0.8819,0.98429,0.91837,0.9487,0.88645,0.43114,0.67099,0.48864,1.07587,0.009769,0.009769,0.009769
9,235.633,0.7436,0.60501,0.55378,1.29456,0.94216,0.86431,0.93631,0.88971,0.94364,0.86567,0.93747,0.89582,0.33493,0.54006,0.86082,1.00007,0.009736,0.009736,0.009736
10,261.059,0.71864,0.59052,0.52553,1.252,0.9929,0.91837,0.94429,0.89791,0.99143,0.91701,0.93902,0.90999,0.37735,0.56369,0.62116,1.05874,0.009703,0.009703,0.009703
